,2000,2010,micro avg,macro avg,weighted avg
f1-score,0.6496447602131439,0.63268156424581,0.6413636363636364,0.6411631622294769,0.6410667804342081
precision,0.6281665951051953,0.65620473201352,0.6413636363636364,0.6421856635593577,0.6423449711554277
recall,0.6726436781609195,0.6107865168539326,0.6413636363636364,0.6417150975074261,0.6413636363636364
support,2175.0,2225.0,4400.0,4400.0,4400.0
