,2000,2010,micro avg,macro avg,weighted avg
f1-score,0.6028018129377833,0.5114039533705018,0.5618181818181818,0.5571028831541426,0.5572067443581963
precision,0.5522838807097018,0.5762421473443746,0.5618181818181818,0.5642630140270382,0.5642357887240442
recall,0.6634920634920635,0.4596810933940774,0.5618181818181818,0.5615865784430705,0.5618181818181818
support,2205.0,2195.0,4400.0,4400.0,4400.0
