,2000,2010,micro avg,macro avg,weighted avg
f1-score,0.6615214994487321,0.6400937866354044,0.6511363636363636,0.6508076430420682,0.650788163303147
precision,0.6412997007268063,0.6622998544395924,0.6511363636363636,0.6517997775831994,0.6518188686320291
recall,0.6830601092896175,0.6193284936479129,0.6511363636363636,0.6511943014687651,0.6511363636363636
support,2196.0,2204.0,4400.0,4400.0,4400.0
