,jaccard_sim,hamming_loss,f1_micro,f1_macro,f1_weighted,f1_samples,accuracy_percentage,accuracy_number
100t_1000i,0.46735188492063484,0.0915220588235294,0.5551707337850856,0.3489838385642589,0.5151216922693539,0.5568636260835124,0.22414772727272728,493.125
100t_100i,0.4664133387445888,0.09155280748663103,0.5538017933687014,0.3499769800641342,0.5133900231730814,0.5551869137806638,0.22495454545454546,494.9
100t_10i,0.4655287067099568,0.09170287433155079,0.5525945725851525,0.34626079264176945,0.511987252736128,0.5543999302780551,0.22390909090909086,492.6
100t_250i,0.4670526515151515,0.09149732620320855,0.555083947734571,0.35126954070081234,0.5146610232634701,0.5558802263708513,0.22491477272727275,494.8125
100t_500i,0.4654791801948052,0.09178108288770054,0.5527830698471867,0.350183192012182,0.5123260087868473,0.5544849567099567,0.2234943181818182,491.6875
100t_50i,0.46529041531385285,0.09177038770053475,0.5531443477409829,0.3483909511689156,0.5129970416331938,0.554370643939394,0.22302272727272726,490.65000000000003
50t_1000i,0.4672875073789846,0.09073028074866311,0.5559610056956956,0.3487468608702271,0.5146143442184152,0.5568790043290044,0.2238068181818182,492.375
50t_100i,0.4665149215367966,0.09074064171122995,0.5561487762801596,0.35170824285409963,0.5145383704394118,0.5557225087412586,0.22399999999999998,492.79999999999995
50t_10i,0.4663849025974026,0.09089204545454545,0.5556163781569727,0.35108814745089306,0.5143856781453315,0.5558727543290043,0.22265340909090908,489.8375
50t_250i,0.4647373962842713,0.0910778743315508,0.5538233853974822,0.3445402444406133,0.5123849709677635,0.5538385785615899,0.2224545454545455,489.4
50t_500i,0.46690116341991345,0.09082386363636365,0.556054619426931,0.35232752755907126,0.5155857977868966,0.5566037337662338,0.22336363636363638,491.4
50t_50i,0.46693512642660373,0.09088636363636364,0.555945083515493,0.35375897616481666,0.5148139696329069,0.556366112012987,0.22356818181818186,491.85
60t_1000i,0.4649082781801531,0.09124264705882354,0.553244159141504,0.35156994528137264,0.5117728903160638,0.5541074337121211,0.22253977272727274,489.5875
60t_100i,0.4640037411452184,0.0913773395721925,0.5526073390054234,0.34360651109553725,0.5106959212292835,0.5528289957201888,0.22294886363636368,490.4875
60t_10i,0.46452104527417026,0.09123195187165777,0.553143159252841,0.34679259046549327,0.5117764421338471,0.553218492965368,0.2234034090909091,491.48750000000007
60t_250i,0.4629066829004329,0.09147727272727273,0.551433681496241,0.34624248845367933,0.5103534278338152,0.5515809097152847,0.2222102272727273,488.8625
60t_500i,0.46812606708316934,0.0908245320855615,0.5567783305445284,0.3545447177030657,0.5166020472328825,0.5577360893841007,0.22467045454545456,494.275
60t_50i,0.46652840805028306,0.09078208556149733,0.555697954693218,0.35284297632697287,0.5145811751961851,0.5556653837481962,0.2241193181818182,493.0625
70t_1000i,0.4691684568903319,0.0906831550802139,0.5575112149073411,0.3574276224796388,0.5175569155827997,0.5587249421979535,0.2254090909090909,495.9
70t_100i,0.46691377902400627,0.09094485294117648,0.5560853011165603,0.35457047404636743,0.5162286418449533,0.5562736426767676,0.22374431818181825,492.23749999999995
70t_10i,0.46688095975993704,0.09100668449197859,0.5550350292731119,0.34953883504768896,0.5143579160772613,0.5560849025974026,0.2243465909090909,493.5625
70t_250i,0.46562108872819097,0.09114137700534759,0.5543061276922379,0.35185882442816346,0.5126369572274968,0.5548607511806376,0.22301704545454545,490.6375
70t_500i,0.466295174963925,0.09103709893048129,0.5549876240125244,0.3532297608541589,0.5144707878875933,0.5555945514081878,0.2227102272727273,489.96250000000003
70t_50i,0.46232457282301037,0.09168549465240641,0.55104474307795,0.34852933028380484,0.5096781707770449,0.5510896351911977,0.22116477272727272,486.56249999999994
80t_1000i,0.4666095643939394,0.09130782085561498,0.5550525308214135,0.35409828079727124,0.515262506188467,0.5555921807359306,0.22468749999999998,494.3125
80t_100i,0.4675794101731602,0.09102774064171124,0.556175627322595,0.3534381593090046,0.5158940677436059,0.5568869318181818,0.2242329545454546,493.3125
80t_10i,0.4651515286796537,0.09138669786096257,0.5537074914306526,0.3526826400268197,0.5131104256636763,0.5540523133116882,0.2235284090909091,491.7625
80t_250i,0.46328358421881144,0.09165006684491979,0.5513590847320418,0.34652236156184407,0.5099070924099981,0.5519859848484848,0.22206818181818178,488.55
80t_500i,0.46901869219795356,0.09066811497326203,0.557506202899706,0.35426679489136514,0.5162197027385284,0.5584395968614719,0.22596022727272733,497.1125
80t_50i,0.4671082431457432,0.09111664438502673,0.5553784615759773,0.3535786602036885,0.5149236642112384,0.5563224644673508,0.22430113636363636,493.4625
90t_1000i,0.46773353625541125,0.0913322192513369,0.5559362769885058,0.3542658395036967,0.5162148864057856,0.5571249351973784,0.22440909090909092,493.70000000000005
90t_100i,0.4673259137642661,0.09124064171122995,0.5548949898774991,0.3502075176674181,0.5143991775567248,0.555994705988456,0.2261875,497.6125
90t_10i,0.46384961506296735,0.09186029411764707,0.5518700737304092,0.34871566355876504,0.5116251870993787,0.5524986742424243,0.22275568181818178,490.0625
90t_250i,0.466146841794569,0.09143415775401069,0.5546135543180819,0.35178795473192503,0.5147175442218532,0.5552428706709956,0.22394886363636365,492.6875
90t_500i,0.46620476928374655,0.091475935828877,0.5538016257249645,0.3487014595624228,0.5128977804860514,0.5550229288073039,0.22456818181818186,494.05
90t_50i,0.46754913419913424,0.09124832887700535,0.5559029076239558,0.35531008319348134,0.5158362213622555,0.556796911075036,0.22482386363636364,494.6124999999999
