,jaccard_sim,f1_micro,f1_macro,f1_weighted,f1_samples,hamming_loss,accuracy_percentage,accuracy_number
BR-LSVC,0.4801647675713096,0.6019207381063489,0.47574359856541026,0.5751137034359415,0.5654206478739189,0.09282642095726208,0.22986131350617328,221.2
BR-SVC,0.4771578084194906,0.5963424140333886,0.44416249831143295,0.563134213101162,0.5602106944163019,0.09233449121299589,0.23744762015790055,228.5
ExtraTrees,0.36215093778177887,0.4835703868736846,0.2807255413746283,0.43529871183999297,0.43005092439671877,0.10199825994218517,0.1774881639367621,170.8
LP-LSVC,0.48591951045222076,0.5637026755243137,0.45238612945272055,0.5563158988239473,0.5724588931130988,0.11449535804675989,0.2534539931736194,243.9
LP-SVC,0.51402603897931,0.6004656340409167,0.48929882951424586,0.5755929385173789,0.5977682139364383,0.09880485086092564,0.28306919428414756,272.4
MLPC,0.4403351176482017,0.5634315197904809,0.4694552732476584,0.5606350116467916,0.5395361179706974,0.117191166723877,0.15982215141093647,153.8
RandomForest,0.3412660467800655,0.4615481056904568,0.2623385504874226,0.4154769456443459,0.40563770147882294,0.10515003141171364,0.1672029326234934,160.9
kNN,0.4424411543103132,0.5578103509892631,0.44476023310161816,0.540828109896766,0.5289331731855096,0.10717374455692212,0.19744226613385493,190.0
