,jaccard_sim,f1_micro,f1_macro,f1_weighted,f1_samples,hamming_loss,accuracy_percentage,accuracy_number
BR-LSVC,0.4738318458645562,0.5988890306527075,0.46491791132921173,0.5720728897686717,0.5606834684638423,0.09400435662117905,0.22030006282342735,212.0
BR-SVC,0.48250891437807325,0.6025453385818923,0.45346467491722314,0.5700120716478181,0.5660210947827771,0.0912119884082501,0.2399429623728689,230.9
ExtraTrees,0.37770149732766556,0.4998246312995075,0.30937726756465844,0.4567224819463104,0.44735730338534074,0.10012758265094715,0.18653106737218889,179.5
LP-LSVC,0.48812383195560766,0.5686698555992716,0.45815589972670995,0.5592032787961767,0.5748327263280534,0.11221002454647315,0.25480372536447304,245.2
LP-SVC,0.518302063745989,0.605891644849555,0.48696706167277803,0.5800052839736994,0.6024297806073506,0.09757878655074917,0.28577254465104934,275.0
MLPC,0.4557540497260123,0.5740345056417613,0.47980088077792693,0.5702295192814204,0.5549240789349824,0.1133391767036627,0.17323074332420124,166.7
RandomForest,0.35768990054036787,0.47789581352301413,0.2861244516546611,0.43658107500947807,0.4253666570956291,0.1036395705554584,0.17271304374108112,166.2
kNN,0.4515970265736621,0.5667563079373902,0.4610585182555407,0.5521289355373015,0.5396773136492763,0.10622477257991278,0.19972668570799415,192.2
