,jaccard_sim,f1_micro,f1_macro,f1_weighted,f1_samples,hamming_loss,accuracy_percentage,accuracy_number
BR-LSVC,0.46185212351100197,0.5857275794248185,0.4474128458440031,0.556633255167499,0.5472827956239171,0.09536918658413987,0.21510331323415435,207.0
BR-SVC,0.47980524197813923,0.5975848582383037,0.4429548822277732,0.5635909443926919,0.5638185864821379,0.09193258679239988,0.23599296636679817,227.1
ExtraTrees,0.3836905831064709,0.5050729786418573,0.31365914137067696,0.4610681420534952,0.45445498338021706,0.09978126221116876,0.1895443250583438,182.4
LP-LSVC,0.5012408400492513,0.5831545443786073,0.47340643526532045,0.5677053941393456,0.5865831359756593,0.1070620296788521,0.26935209832406093,259.2
LP-SVC,0.5132602444284687,0.599790728992071,0.4817525866085649,0.5744286713446898,0.5971419982167647,0.0990823245963433,0.2816141087169125,271.0
MLPC,0.4660268086202666,0.5848235855373451,0.48918438664928277,0.577927328940481,0.5628822352186837,0.10846197023767117,0.18621813762000677,179.2
RandomForest,0.3705345946233797,0.4921490165318521,0.30351238363050526,0.4493979028354776,0.4406382442831041,0.10242743102556187,0.17790633912129242,171.2
kNN,0.4511070847986735,0.5659771008762112,0.45639498711106385,0.5497436244104522,0.5387606092278989,0.10580937515516955,0.20232252381785093,194.7
