,jaccard_sim,f1_micro,f1_macro,f1_weighted,f1_samples,hamming_loss,accuracy_percentage,accuracy_number
BR-LSVC,0.46986771201724464,0.593871602146564,0.46041603843042783,0.5663862391526746,0.5544059081675904,0.09448902533014682,0.22341942949419585,215.0
BR-SVC,0.4811720023402266,0.5999699844510099,0.44298504408092915,0.5668329634057885,0.5639158314625604,0.09146823315047614,0.23983868843681933,230.8
ExtraTrees,0.37683459160094673,0.4971156382611028,0.29986543711683816,0.45032852344843616,0.4471093626233813,0.10034244165085286,0.18528291051655538,178.3
LP-LSVC,0.495769167801878,0.5751904471320808,0.46451370478265674,0.5625334489799502,0.5821368312957098,0.10973626394187144,0.26384662879989984,253.9
LP-SVC,0.5139456764456765,0.6015641845527334,0.4830836273077761,0.5767653079433964,0.5980925389803895,0.09874985697415603,0.2807838032137097,270.2
MLPC,0.46163393212458625,0.580290001291416,0.48141634791391075,0.5751868215292543,0.5600874367229508,0.11103257822883991,0.1797767933281952,173.0
RandomForest,0.35567271441103215,0.47403665566198355,0.27628094869654307,0.4285727122203625,0.42458824028917486,0.10432542535346274,0.1695950803427439,163.2
kNN,0.44779864335939096,0.5637170157006597,0.4459742393537889,0.546993065349241,0.5354342511351857,0.1066199053114941,0.1974409708054568,190.0
