,jaccard_sim,f1_micro,f1_macro,f1_weighted,f1_samples,hamming_loss,accuracy_percentage,accuracy_number
BR-LSVC,0.46100972107981447,0.5836757526149716,0.43949979291438207,0.5540739215795687,0.5462744258538651,0.09608267505463768,0.2164567155221361,208.3
BR-SVC,0.4792919321190349,0.5969487847085782,0.44243123846736926,0.5645206561688528,0.5635885641726764,0.09253493608633796,0.23609778002301368,227.2
ExtraTrees,0.38786048989320016,0.5079032926848015,0.31821579316167037,0.46438989364876226,0.4608659594173613,0.09980201625061438,0.18777695740312564,180.7
LP-LSVC,0.5041407726921745,0.588377703512957,0.47887588330960995,0.5703171022980027,0.5904289947747892,0.10503215652748363,0.2699762307238943,259.8
LP-SVC,0.5129643302540499,0.600534345404734,0.4830682505963849,0.5748186650094131,0.5976239971099785,0.09916492337053084,0.2798505191028556,269.3
MLPC,0.4781363192811791,0.5949827393602403,0.4942418265512167,0.5865447598018549,0.573790889071263,0.10478339590489123,0.2005575309313627,193.0
RandomForest,0.3745996427772128,0.49355843620298934,0.3030406230939541,0.4514021325383329,0.4454087547545491,0.10264918405105321,0.18112728112728116,174.3
kNN,0.44625867420259946,0.5619256239669823,0.45223562573363474,0.546621297282705,0.5355142232712327,0.1072430806075666,0.19390515605468878,186.6
