,jaccard_sim,f1_micro,f1_macro,f1_weighted,f1_samples,hamming_loss,accuracy_percentage,accuracy_number
BR-LSVC,0.4746202363141615,0.5986012831305727,0.46433537981276995,0.5720568094036226,0.559653994396985,0.09385856740996928,0.22528891220480007,216.8
BR-SVC,0.476860019617029,0.5956826443898424,0.4458340983216457,0.5617882563689456,0.559781606347027,0.09220283547386351,0.23651228511041594,227.6
ExtraTrees,0.3578810604277894,0.4775704680169019,0.2793723555509321,0.43260044707635864,0.4260934478691488,0.10256588004251557,0.17281451113226814,166.3
LP-LSVC,0.4785755633419185,0.557083922423195,0.44627828453037666,0.5520927876244203,0.5658679419894372,0.11708736054530448,0.2452439858981915,236.0
LP-SVC,0.5187208811975167,0.6044552625146471,0.49023307292517615,0.5784524622152899,0.6025197591552732,0.09760647059712481,0.28681075036215226,276.0
MLPC,0.4361171498087386,0.555759213114625,0.4608745359560439,0.5564649284222799,0.5351404346731451,0.12085557160323517,0.15826484284428213,152.3
RandomForest,0.33381331547219395,0.4532640404659823,0.26102376760154944,0.4105660518482509,0.39902993216077326,0.10613317846962707,0.15785519523837283,151.9
kNN,0.4478920365368963,0.5631830907256665,0.45334582420315017,0.5476091105796994,0.5348068269563597,0.10637020197767862,0.20232435886641492,194.7
