,jaccard_sim,f1_micro,f1_macro,f1_weighted,f1_samples,hamming_loss,accuracy_percentage,accuracy_number
BR-LSVC,0.4815417808174818,0.6029695306468642,0.4761855939357071,0.5766284656352039,0.566579759990975,0.09300660113744227,0.2325635844327433,223.8
BR-SVC,0.48485722602545034,0.60454477112082,0.4451781260567317,0.570857721307078,0.5689385642189381,0.09087972947786031,0.24025211408388975,231.2
ExtraTrees,0.3650520308230588,0.48498587642476343,0.2902985694085697,0.4397466210853767,0.43354296064576436,0.10160295450015075,0.1783221395370928,171.6
LP-LSVC,0.48221913862100774,0.5592432016079688,0.4515058871085419,0.5537095383018189,0.5686892787827367,0.11651181735293885,0.251686517574368,242.2
LP-SVC,0.5178324802156578,0.6032581779028086,0.4885507438860107,0.5779213382485062,0.6011999886298951,0.09782797175320539,0.2878508990658523,277.0
MLPC,0.4401560911841286,0.5638862736128492,0.4668817104450813,0.5624153464046954,0.5409746952971253,0.1184720378178322,0.15276045276045278,147.0
RandomForest,0.35172056132336504,0.4704558077627709,0.28050446438997556,0.4267694627600827,0.4187992089861249,0.1042492096697704,0.16980330438274366,163.4
kNN,0.4444634102110737,0.5592501090210183,0.44379682160112816,0.543826295746398,0.5313696620005032,0.10756173139350711,0.19962090055548,192.1
