,avg_doclength
1930,8026.513684210527
1940,9184.684210526315
1950,8265.19052631579
1960,7162.598947368421
1970,6630.734736842105
1980,7103.752631578947
1990,7689.375789473685
2000,7112.301052631579
2010,7641.315789473684
