,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,micro avg,macro avg,weighted avg,samples avg
f1-score,0.6670822942643392,0.5097087378640777,0.6193853427895982,0.6289453425712086,0.516326530612245,0.761752350470094,0.43548387096774194,0.2569832402234637,0.2893081761006289,0.64110127826942,0.23333333333333334,0.19489559164733175,0.45346869712351945,0.45866666666666667,0.39411283728536384,0.47222222222222215,0.35714285714285715,0.5971270191333373,0.46411290409141825,0.5805335893340217,0.6086818181818181
precision,0.6806615776081425,0.5303030303030303,0.655,0.7135371179039302,0.5816091954022988,0.7325894574836476,0.648,0.36507936507936506,0.45098039215686275,0.7164835164835165,0.5,0.375,0.6536585365853659,0.5477707006369427,0.4908350305498982,0.5396825396825397,0.2777777777777778,0.6605565079783727,0.5564098963325482,0.6428483521182303,0.7076893939393939
recall,0.6540342298288508,0.49065420560747663,0.5874439461883408,0.5622849277357193,0.46422018348623856,0.7933333333333333,0.32793522267206476,0.19827586206896552,0.21296296296296297,0.5800711743772242,0.15217391304347827,0.13166144200626959,0.3471502590673575,0.3944954128440367,0.3292349726775956,0.41975308641975306,0.5,0.5448118338046553,0.4203344196658628,0.5448118338046553,0.5915530303030302
support,818.0,428.0,223.0,1453.0,545.0,2400.0,247.0,232.0,108.0,562.0,46.0,319.0,772.0,218.0,732.0,81.0,10.0,9194.0,9194.0,9194.0,9194.0
