,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,micro avg,macro avg,weighted avg,samples avg
f1-score,0.0,0.02727272727272727,0.09401709401709402,0.03496973772696705,0.0,0.7107560289983725,0.0,0.0,0.020408163265306124,0.0033898305084745766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3586398944745713,0.05240079892876127,0.19571362294843347,0.38243181818181815
precision,0.0,0.3333333333333333,0.6111111111111112,0.5,0.0,0.552819332566168,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5511261261261261,0.2351331633535654,0.3270337318576359,0.5521590909090909
recall,0.0,0.014218009478672985,0.05092592592592592,0.018118466898954706,0.0,0.9950289975144988,0.0,0.0,0.010309278350515464,0.001697792869269949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26580490984140775,0.06413520417869634,0.26580490984140775,0.3165909090909091
support,804.0,422.0,216.0,1435.0,580.0,2414.0,261.0,254.0,97.0,589.0,37.0,303.0,739.0,194.0,749.0,92.0,20.0,9206.0,9206.0,9206.0,9206.0
