,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,micro avg,macro avg,weighted avg,samples avg
f1-score,0.6422310756972112,0.46548956661316215,0.5483870967741935,0.6322378716744915,0.5477855477855478,0.7356828193832599,0.4054054054054054,0.21323529411764708,0.2459016393442623,0.625,0.08333333333333333,0.32911392405063294,0.3387978142076503,0.4429967426710098,0.329700272479564,0.3636363636363637,0.6451612903225806,0.574651087309315,0.44671153279390097,0.5567398455900706,0.5866354166666666
precision,0.6716666666666666,0.5430711610486891,0.53125,0.7046511627906977,0.6151832460732984,0.7121535181236673,0.5309734513274337,0.38666666666666666,0.4166666666666667,0.6811145510835913,0.12,0.49523809523809526,0.5610859728506787,0.5619834710743802,0.4186851211072664,0.4482758620689655,0.6382978723404256,0.6407889974665218,0.5315860873604228,0.6191598498655896,0.6897916666666666
recall,0.6152671755725191,0.40730337078651685,0.5666666666666667,0.5733207190160833,0.49369747899159666,0.7608200455580866,0.32786885245901637,0.14720812182741116,0.1744186046511628,0.5774278215223098,0.06382978723404255,0.24644549763033174,0.24266144814090018,0.3655913978494624,0.27191011235955054,0.3058823529411765,0.6521739130434783,0.5208884966166519,0.3995584333088419,0.5208884966166519,0.56546875
support,655.0,356.0,120.0,1057.0,476.0,1756.0,183.0,197.0,86.0,381.0,47.0,211.0,511.0,186.0,445.0,85.0,46.0,6798.0,6798.0,6798.0,6798.0
