,avg_doclength
Action,7309.21103117506
Adventure,7359.054736842105
Animation,6011.023622047244
Comedy,8750.788350217077
Crime,7910.210569105691
Drama,7682.737151248164
Family,7687.620309050772
Fantasy,6910.069264069264
History,8295.76618705036
Horror,5965.015276145711
Musical,9159.28989361702
Mystery,7732.017175572519
Romance,8759.777574649605
Sci-Fi,6863.849514563107
Thriller,7111.866188769414
War,7801.254950495049
Western,7309.177304964539
