,jaccard_sim,f1_micro,f1_macro,f1_weighted,f1_samples,hamming_loss,accuracy_percentage,accuracy_number
BR-LSVC,0.4666314935064936,0.5629964069220845,0.3535889183173997,0.5216223760609864,0.5578739010989011,0.08887700534759359,0.21409090909090905,471.0
BR-SVC,0.4883621212121212,0.5805575094185109,0.3669982613556927,0.5348674149735478,0.5791038961038961,0.08469518716577541,0.2357727272727273,518.7
ExtraTrees,0.4077280303030303,0.4931919488926627,0.20341887481995746,0.4193907807339626,0.48526277056277056,0.09204010695187166,0.20313636363636361,446.9
LP-LSVC,0.4770704545454546,0.5491684584864525,0.3861529924191313,0.5232927700962045,0.5662681818181818,0.0968903743315508,0.24586363636363634,540.9
LP-SVC,0.501519696969697,0.5799009706845568,0.4058928051977205,0.5495256266131427,0.5903969696969698,0.09032620320855614,0.26477272727272727,582.5
MLPC,0.4995303030303031,0.5994545397591022,0.4547915924310811,0.5829171059746395,0.597587012987013,0.08912299465240642,0.2206818181818182,485.5
RandomForest,0.4168227272727273,0.5009505354306062,0.2104042587003141,0.4298235493640302,0.49693896103896096,0.09169518716577539,0.20522727272727273,451.5
kNN,0.4455886363636363,0.5452490823759514,0.3886922043881378,0.5213877988540079,0.5392155844155845,0.0981711229946524,0.18813636363636366,413.9
