,jaccard_sim,f1_micro,f1_macro,f1_weighted,f1_samples,hamming_loss,accuracy_percentage,accuracy_number
BR-LSVC,0.4696045371295371,0.566933526449481,0.3556143500440215,0.5237120369736129,0.5620296717171716,0.08807219251336898,0.21395454545454545,470.7
BR-SVC,0.49060454545454546,0.5827140315292971,0.3702486001692089,0.5376494036033261,0.5812865800865801,0.0843903743315508,0.2381363636363636,523.9
ExtraTrees,0.41691590909090903,0.5028882542954715,0.21819111223621576,0.4299190818372085,0.4957556277056277,0.09091176470588236,0.2088181818181818,459.4
LP-LSVC,0.48119545454545454,0.5552416318385045,0.3940233551801202,0.5290354511959814,0.5711136363636363,0.09565508021390375,0.2469090909090909,543.2
LP-SVC,0.503585606060606,0.5829654184525961,0.41211371815694625,0.5530983961089181,0.5922469696969697,0.08955882352941176,0.26631818181818184,585.9
MLPC,0.4985568181818182,0.5996616107280287,0.45513537818135763,0.5827603880080784,0.5964604978354977,0.08887967914438502,0.21813636363636366,479.9
RandomForest,0.4219780303030303,0.5061403583154351,0.219415810961313,0.43524574828444135,0.5025041125541125,0.091048128342246,0.2091818181818182,460.2
kNN,0.4497863636363636,0.5490388059369309,0.3980014856866002,0.5252288955579141,0.543925974025974,0.09774064171122995,0.1915,421.3
