,jaccard_sim,f1_micro,f1_macro,f1_weighted,f1_samples,hamming_loss,accuracy_percentage,accuracy_number
BR-LSVC,0.4844426767676767,0.5814023644583187,0.37873655399687844,0.5431136092640653,0.5775096940937849,0.08628342245989305,0.22495454545454546,494.9
BR-SVC,0.49799999999999994,0.5903858526122766,0.3746965793218838,0.5469708846121604,0.5890575757575757,0.08333957219251337,0.24331818181818185,535.3
ExtraTrees,0.41101666666666664,0.4954371497102928,0.20119864107421298,0.4172800073779019,0.48929805194805187,0.09139572192513368,0.20481818181818184,450.6
LP-LSVC,0.47815075757575765,0.5455230994058071,0.3938650369650567,0.5310734798278263,0.5686075757575757,0.10082352941176471,0.2435,535.7
LP-SVC,0.5098939393939393,0.587746739163679,0.40615038159162653,0.5581046248068464,0.5988863636363636,0.0884331550802139,0.2722727272727273,599.0
MLPC,0.49280043290043285,0.5951826219970381,0.45407276620499026,0.5824346935224332,0.5930627344877345,0.09226470588235294,0.20845454545454545,458.6
RandomForest,0.4122318181818182,0.49410399598966476,0.19517967181575832,0.41539883980591485,0.49183939393939385,0.091975935828877,0.20340909090909093,447.5
kNN,0.4522787878787879,0.5515840469436079,0.38797107754366467,0.5265973989376829,0.5466476190476189,0.09766042780748663,0.19245454545454546,423.4
