,jaccard_sim,f1_micro,f1_macro,f1_weighted,f1_samples,hamming_loss,accuracy_percentage,accuracy_number
BR-LSVC,0.47702651515151506,0.5738277749208135,0.3706784120929937,0.5332041877227242,0.5696129870129869,0.0872005347593583,0.22045454545454546,485.0
BR-SVC,0.4957431818181818,0.588656033809589,0.3769274914833783,0.5445563745232519,0.5873082251082252,0.08363101604278075,0.2392272727272727,526.3
ExtraTrees,0.413914393939394,0.4978453042192326,0.2055814005885121,0.42235210242591953,0.49155108225108224,0.0913957219251337,0.20800000000000002,457.6
LP-LSVC,0.48379621212121215,0.5548801107076035,0.4045901382382051,0.5359705607626866,0.5737166666666667,0.09737433155080213,0.24886363636363637,547.5
LP-SVC,0.5054090909090909,0.5845801509182533,0.4122156904220219,0.5548386069226409,0.5947575757575757,0.08929144385026737,0.26659090909090916,586.5
MLPC,0.49723376623376625,0.5983250934136761,0.45814031482610973,0.5834055383631656,0.5963883116883115,0.09045989304812833,0.2142727272727273,471.4
RandomForest,0.4186522727272727,0.5020072814845944,0.20173551884485477,0.42674165709666373,0.4985090909090909,0.09121122994652406,0.20759090909090908,456.7
kNN,0.44885984848484844,0.5492832691069969,0.3976363079759605,0.5260835141317954,0.5432515151515152,0.0976577540106952,0.1888636363636364,415.5
