,jaccard_sim,f1_micro,f1_macro,f1_weighted,f1_samples,hamming_loss,accuracy_percentage,accuracy_number
BR-LSVC,0.4744118916437099,0.57071603862446,0.3672601359383855,0.5275159081850844,0.5669410960251869,0.08775401069518717,0.2185909090909091,480.9
BR-SVC,0.4934325757575757,0.5854894122239622,0.3772209483139978,0.5409509251226534,0.5844344155844154,0.0840374331550802,0.24013636363636365,528.3
ExtraTrees,0.4095424242424242,0.4930811280502551,0.20381271765051992,0.41591636024050177,0.48742121212121203,0.0921336898395722,0.2042727272727273,449.4
LP-LSVC,0.48138030303030305,0.5550067405848745,0.3964051370808616,0.5315558687862181,0.5714575757575757,0.09641176470588235,0.24663636363636363,542.6
LP-SVC,0.5040098484848485,0.582948706919113,0.4108334983510278,0.553068772988785,0.5933803030303031,0.0894625668449198,0.26490909090909087,582.8
MLPC,0.4986242424242423,0.6009208561894932,0.4597113666301859,0.585773563166778,0.5973347402597402,0.08958021390374331,0.21577272727272728,474.7
RandomForest,0.41598106060606055,0.498252477262198,0.2030124990806396,0.42161874840746183,0.49586818181818176,0.09165508021390374,0.20563636363636362,452.4
kNN,0.4475863636363636,0.5480336616835464,0.39661429237968965,0.5246955109224916,0.5420484848484849,0.09809625668449198,0.18818181818181817,414.0
