,jaccard_sim,f1_micro,f1_macro,f1_weighted,f1_samples,hamming_loss,accuracy_percentage,accuracy_number
BR-LSVC,0.4748487603305785,0.5704377005718857,0.3662672068193118,0.5300134401111649,0.5674286796536796,0.0878288770053476,0.21931818181818183,482.5
BR-SVC,0.49202803030303033,0.5835017764609075,0.36842790127856173,0.5392707151898045,0.5831348484848484,0.0842379679144385,0.23795454545454545,523.5
ExtraTrees,0.4131378787878788,0.49780983093731973,0.20511243233321091,0.42305433826722083,0.4913359307359307,0.09127005347593582,0.20695454545454547,455.3
LP-LSVC,0.4822310606060606,0.5541148815255159,0.39703548132845334,0.5323814760956718,0.5724151515151515,0.09686898395721924,0.24681818181818183,543.0
LP-SVC,0.5053916666666666,0.5836404132179611,0.40891152642397605,0.5537976771284543,0.5948575757575757,0.08958823529411765,0.2661363636363636,585.5
MLPC,0.5016246753246754,0.6017175768613507,0.45921187085615794,0.5852891863722595,0.6000676406926407,0.0890855614973262,0.22072727272727272,485.6
RandomForest,0.4149901515151515,0.49779464176144417,0.19939405002233507,0.42278241743547085,0.49371363636363635,0.0916524064171123,0.2079090909090909,457.4
kNN,0.45079545454545455,0.5512634128485103,0.3919502113195053,0.5282740780180438,0.5457257575757575,0.09752139037433154,0.18895454545454543,415.7
