,jaccard_sim,f1_micro,f1_macro,f1_weighted,f1_samples,hamming_loss,accuracy_percentage,accuracy_number
BR-LSVC,0.4612880208333334,0.556548549642905,0.3516873062043048,0.5096388321963807,0.5541601325757577,0.08950367647058824,0.205625,329.0
BR-SVC,0.4709604166666666,0.5643850785856579,0.3527497183423999,0.5115955929242465,0.5629532738095239,0.0870735294117647,0.2171875,347.5
ExtraTrees,0.389296875,0.4728365960051035,0.1885681337152399,0.39368305540676996,0.4652166666666666,0.09430882352941175,0.19031249999999997,304.5
LP-LSVC,0.4634020833333333,0.5333314156289026,0.381435798997548,0.5122225847913542,0.55425,0.10257720588235295,0.2281875,365.1
LP-SVC,0.4846666666666667,0.5631163462293692,0.3849316154968162,0.5253633089041243,0.5741958333333333,0.09331617647058824,0.24712499999999996,395.4
MLPC,0.4727303571428571,0.5767175709907548,0.44089075617315493,0.5620544697726393,0.57333125,0.09576470588235295,0.19075,305.2
RandomForest,0.39322187499999994,0.4770488995612626,0.1778286692164928,0.39805760478775604,0.4706520833333334,0.09449264705882353,0.19,304.0
kNN,0.4284854166666666,0.5294844683258407,0.37675550038464334,0.501763016692609,0.5220065476190477,0.10120955882352942,0.1731875,277.1
