,jaccard_sim,f1_micro,f1_macro,f1_weighted,f1_samples,hamming_loss,accuracy_percentage,accuracy_number
BR-LSVC,0.47719270833333327,0.5726110166801911,0.37385265261274886,0.5290126585524852,0.5702026785714287,0.08725735294117647,0.2185,349.6
BR-SVC,0.47824583333333326,0.572061554202808,0.35831342923591586,0.5199125628074937,0.5701044642857143,0.08573897058823529,0.223,356.8
ExtraTrees,0.38482916666666667,0.468120599779681,0.17909039182308895,0.38723665289211795,0.4603770833333334,0.0948639705882353,0.186875,299.0
LP-LSVC,0.452646875,0.5166640079039724,0.37289849645356193,0.5048824050540424,0.54326875,0.10881250000000002,0.219,350.4
LP-SVC,0.4907489583333334,0.5695916163020552,0.39459270728728857,0.5319861335870415,0.5804,0.09223161764705883,0.251125,401.8
MLPC,0.46129702380952387,0.5668014003234134,0.4378966397162916,0.5560823845258331,0.5639890873015873,0.10035661764705883,0.174875,279.8
RandomForest,0.38640208333333337,0.4677358640897259,0.16505432533219588,0.3843127570630347,0.4630187500000001,0.09536764705882353,0.18743749999999998,299.9
kNN,0.4320260416666667,0.532888895459047,0.3825250800314021,0.5066394617451075,0.5255291666666666,0.10050367647058822,0.17506249999999998,280.1
