,jaccard_sim,f1_micro,f1_macro,f1_weighted,f1_samples,hamming_loss,accuracy_percentage,accuracy_number
BR-LSVC,0.45879062500000006,0.5533177349579431,0.3456657753641505,0.50569920611859,0.5505209821428572,0.09001838235294117,0.2074375,331.9
BR-SVC,0.4700687499999999,0.5637302700111679,0.35411535715969983,0.5109211619278359,0.5617479166666667,0.08730882352941176,0.2168125,346.9
ExtraTrees,0.386875,0.471627202294279,0.19560328974284916,0.39451299693312614,0.4623020833333332,0.09446691176470588,0.188625,301.8
LP-LSVC,0.4655677083333333,0.5353664177354627,0.3781164893649934,0.5107715536695374,0.5561083333333334,0.10108823529411763,0.230125,368.2
LP-SVC,0.4838197916666666,0.560960864178573,0.3814552401125505,0.5234931764694414,0.5733479166666666,0.09391544117647058,0.2461875,393.9
MLPC,0.47721473214285715,0.579547886417667,0.44311682066230623,0.562204703223399,0.577021130952381,0.09399264705882353,0.1953125,312.5
RandomForest,0.3948072916666666,0.4790079068970335,0.1845779144959419,0.4029073429057517,0.4715749999999999,0.09437867647058823,0.19237500000000002,307.8
kNN,0.4299052083333333,0.5290237227042498,0.37605684443577597,0.5024408807126419,0.5225513392857142,0.10138235294117645,0.17712500000000003,283.4
