,jaccard_sim,f1_micro,f1_macro,f1_weighted,f1_samples,hamming_loss,accuracy_percentage,accuracy_number
BR-LSVC,0.4705687500000001,0.5658150381308623,0.36144037112727306,0.521044656535145,0.5639126488095239,0.08844485294117647,0.2128125,340.5
BR-SVC,0.4751468750000001,0.568009629417227,0.3533231900789002,0.5161679385388014,0.5662973214285715,0.08639338235294118,0.22356249999999997,357.7
ExtraTrees,0.38246354166666674,0.46554110711092667,0.1819553039919064,0.38411754646597074,0.4573083333333333,0.09522058823529413,0.1871875,299.5
LP-LSVC,0.45488333333333325,0.5199504448127981,0.37268593352739854,0.5057804146232783,0.5453916666666666,0.10737500000000003,0.221875,355.0
LP-SVC,0.48920416666666666,0.5667798092217065,0.3876815857458546,0.528536935714887,0.5786916666666666,0.09274632352941176,0.251375,402.2
MLPC,0.4698519345238095,0.5741283205383066,0.44296750294380133,0.5619549297245661,0.5716686011904761,0.0981985294117647,0.1830625,292.9
RandomForest,0.39020625,0.47269824446169906,0.1771575715709545,0.39293710192184883,0.46695208333333327,0.09508823529411765,0.1899375,303.9
kNN,0.43023437499999995,0.5292813957788228,0.3695750714299081,0.5009696496453816,0.5233183035714285,0.10165808823529413,0.17675,282.8
