,jaccard_sim,f1_micro,f1_macro,f1_weighted,f1_samples,hamming_loss,accuracy_percentage,accuracy_number
BR-LSVC,0.45604613095238095,0.5502927045453939,0.3380772896276174,0.4996801208232483,0.5479304563492063,0.09028676470588234,0.20437499999999997,327.0
BR-SVC,0.4707739583333333,0.5635433512217208,0.35125733500402284,0.5090327881130301,0.5625050595238095,0.08708088235294117,0.21818750000000003,349.1
ExtraTrees,0.393584375,0.4788120042533591,0.20308322448737534,0.4035645971186107,0.47147916666666667,0.09437867647058823,0.1895625,303.3
LP-LSVC,0.4672604166666666,0.538095465236849,0.37765823850508784,0.5089442504763712,0.5573375,0.09954779411764705,0.23393750000000005,374.3
LP-SVC,0.481584375,0.5590321467173276,0.3829620206660023,0.5203984893715289,0.5708395833333333,0.09432352941176472,0.244875,391.8
MLPC,0.4790553571428572,0.5815295850650195,0.43996081375437174,0.5618431711582448,0.5788967261904762,0.09308088235294118,0.19806249999999997,316.9
RandomForest,0.401371875,0.4866905428261922,0.19143807522825637,0.41006956604572514,0.4812952380952381,0.09390441176470589,0.191625,306.6
kNN,0.4276041666666666,0.524818218152493,0.37280032949336944,0.4983314725897484,0.5202821428571427,0.1023125,0.1761875,281.9
