,jaccard_sim,f1_micro,f1_macro,f1_weighted,f1_samples,hamming_loss,accuracy_percentage,accuracy_number
BR-LSVC,0.46288199404761904,0.5569490866368048,0.35448913077106103,0.5099618347976789,0.5560090773809524,0.08959558823529412,0.2073125,331.7
BR-SVC,0.47316145833333334,0.5653383840930305,0.352980216775803,0.5124665766962001,0.5644077380952381,0.08684191176470589,0.22218749999999998,355.5
ExtraTrees,0.39452291666666667,0.48082151842560944,0.20674186370447104,0.4056576633201159,0.4721875000000001,0.09395220588235295,0.18931249999999997,302.9
LP-LSVC,0.4669229166666666,0.5366421467944269,0.3785771737446482,0.5113966039017013,0.5572604166666666,0.10058088235294119,0.232125,371.4
LP-SVC,0.48799375000000006,0.5654431058927536,0.38877664428270464,0.5275832434581923,0.57745,0.09298897058823528,0.2504375,400.7
MLPC,0.47774553571428574,0.5798933690108138,0.44077981911035186,0.5641102129541437,0.5780515873015872,0.09465073529411763,0.1951875,312.3
RandomForest,0.40228437499999997,0.48679257494393113,0.18835264407837116,0.4095470305284863,0.48184166666666667,0.0940220588235294,0.1931875,309.1
kNN,0.43297187499999995,0.5313577959507713,0.3824307570046105,0.5042009036687164,0.5268181547619049,0.10116911764705883,0.177,283.2
