,jaccard_sim,f1_micro,f1_macro,f1_weighted,f1_samples,hamming_loss,accuracy_percentage,accuracy_number
BR-LSVC,0.4643392361111111,0.5607069797165969,0.3555488243088685,0.5137443241530641,0.5567757440476191,0.08910294117647058,0.20975000000000002,335.6
BR-SVC,0.4738989583333334,0.5679770598172885,0.35550880993575773,0.5144365344699071,0.5655619047619048,0.08641911764705883,0.2194375,351.1
ExtraTrees,0.384078125,0.4677312154701439,0.1819852616351532,0.38602361847599254,0.4585375,0.09470588235294117,0.18912500000000002,302.6
LP-LSVC,0.4608989583333333,0.5281243201136977,0.37911738618568014,0.5093783682251434,0.5511604166666666,0.10452941176470587,0.22737500000000002,363.8
LP-SVC,0.48683958333333327,0.5641199352701349,0.3837006033645647,0.5252434497951537,0.5758729166666667,0.09300367647058824,0.2504375,400.7
MLPC,0.4717142857142857,0.5746033924705554,0.4457050772626193,0.5606424828019673,0.5723633928571429,0.09693014705882352,0.190125,304.2
RandomForest,0.3842552083333333,0.46473806611607726,0.1667281309672771,0.3819573866390401,0.4591833333333334,0.09551470588235295,0.1886875,301.9
kNN,0.43103958333333325,0.5321476932367748,0.3801421197956635,0.5040210680204452,0.5253339285714287,0.10094117647058824,0.1745625,279.3
