,1970,1980,1990,2000,2010
ADJCL,10.216099285583224,9.793680557083896,9.938428554178818,10.072913236288727,10.155245423383441
CNPC,0.6454759578408011,0.6357258654957029,0.6311953724152302,0.6144574559745345,0.6188880021641185
CNPS,0.5818604370847953,0.5548642564297643,0.5518578181275343,0.5381270766553574,0.5280195183302354
DPPC,0.2797774889718542,0.2739620212766224,0.27776371490005336,0.2819981763781192,0.28647233394706
MLC,6.4427518994760336,6.39865156667432,6.383565681283342,6.319534608669706,6.356168529487929
MLNP,3.045693366931613,3.0270768648538033,3.037500789701489,3.029346096095651,3.030117314930378
MLS,5.7790568937071205,5.565086007304367,5.552305471766476,5.507058516687067,5.404785803154008
NPPS,0.678983284131938,0.64881534948176,0.6437798590640539,0.6292379097408718,0.6141870877680567
PASSPS,0.025500865440421815,0.022980559620207053,0.02219332245339703,0.020743080771642775,0.020091574018897485
SCR,0.9011976479501428,0.8742890262924852,0.8752518641564264,0.8758127406562696,0.8551163432297781
