,1930,1940,1950,1960,1970,1980,1990,2000,2010,micro avg,macro avg,weighted avg
f1-score,0.3042505592841164,0.27613412228796846,0.06642066420664205,0.08823529411764705,0.19954648526077098,0.14367816091954022,0.05673758865248227,0.2505399568034557,0.26221079691516713,0.20175438596491227,0.18308373649419896,0.18035415734238744
precision,0.27419354838709675,0.20771513353115728,0.140625,0.15789473684210525,0.16923076923076924,0.1592356687898089,0.09195402298850575,0.20069204152249134,0.265625,0.20175438596491227,0.18524065792132605,0.1848872449869453
recall,0.3417085427135678,0.4117647058823529,0.043478260869565216,0.061224489795918366,0.2430939226519337,0.13089005235602094,0.041025641025641026,0.3333333333333333,0.25888324873096447,0.20175438596491227,0.20726691081769977,0.20175438596491227
support,199.0,170.0,207.0,196.0,181.0,191.0,195.0,174.0,197.0,1710.0,1710.0,1710.0
