,avg_doclength
1930,7403.24
1940,7768.783783783784
1950,7076.832
1960,5969.513991163476
1970,5889.558516801854
1980,5869.519163763066
1990,6451.828193832599
2000,6230.3176323468115
2010,6615.395405819296
