IMDB-ID,originalTitle,startYear,genres,documentLength
tt0031346,Frontier Marshal,1939,Western,7244
tt0031359,Gaslight,1940,Thriller,7401
tt0031448,The Hound of the Baskervilles,1939,Horror Mystery Thriller,9546
tt0031505,Jamaica Inn,1939,Adventure Crime,11054
tt0031614,The Man They Could Not Hang,1939,Crime Horror Sci-Fi,7605
tt0031619,The Man in the Iron Mask,1939,Adventure History Romance,10738
tt0031747,The Oklahoma Kid,1939,Action Adventure History,7927
tt0031842,The Real Glory,1939,Action History Romance,8570
tt0031851,The Return of Doctor X,1939,Horror Mystery Sci-Fi,7994
tt0031968,The Spy in Black,1939,Thriller War,6274
tt0031971,Stagecoach,1939,Adventure Western,8045
tt0032007,Tarzan Finds a Son!,1939,Action Adventure Family,4515
tt0032146,Wyoming Outlaw,1939,Western,4199
tt0032215,The Ape,1940,Horror,6426
tt0032229,Un'avventura di Salvator Rosa,1939,Adventure,10471
tt0032245,Before I Hang,1940,Crime Horror Sci-Fi,5241
tt0032284,Broadway Melody of 1940,1940,Musical,8884
tt0032356,Contraband,1940,Adventure Romance,7975
tt0032484,Foreign Correspondent,1940,Action Romance Thriller,14465
tt0032762,The Mark of Zorro,1940,Action Adventure Romance,8617
tt0032818,The Mummy's Hand,1940,Adventure Fantasy Horror,6345
tt0032823,Music in My Heart,1940,Musical Romance,7779
tt0032842,Night Train to Munich,1940,Thriller War,11027
tt0032983,The Return of Frank James,1940,Crime History Western,9737
tt0033152,The Thief of Bagdad,1940,Adventure Family Fantasy,7141
tt0033254,When the Daltons Rode,1940,Western,8489
tt0033383,Belle Starr,1941,Western,8464
tt0033489,La corona di ferro,1941,Adventure Fantasy,7932
tt0033501,Croisières sidérales,1942,Sci-Fi,12455
tt0033523,Le dernier des six,1941,Mystery Thriller,9010
tt0033530,The Devil Commands,1941,Horror Sci-Fi,5639
tt0033553,Dr. Jekyll and Mr. Hyde,1941,Horror Sci-Fi,9233
tt0033663,Girl in the News,1940,Crime Thriller,10039
tt0033717,High Sierra,1941,Action Adventure Crime,10968
tt0033760,Invisible Ghost,1941,Horror Thriller,4931
tt0034201,Sluchay v vulkane,1941,Adventure,2280
tt0034247,Superman,1941,Action Adventure Animation,5213
tt0034248,Suspicion,1941,Mystery Thriller,11540
tt0034266,Tarzan's Secret Treasure,1941,Action Adventure Romance,5850
tt0034269,Texas,1941,Western,9777
tt0034384,Western Union,1941,History Western,7542
tt0034398,The Wolf Man,1941,Horror,12621
tt0034465,Arabian Nights,1942,Action Adventure,6484
tt0034477,L'assassin a peur la nuit,1942,Crime,7758
tt0034587,Cat People,1942,Fantasy Horror Thriller,5974
tt0034711,Eyes in the Night,1942,Crime Mystery,8530
tt0034746,For Me and My Gal,1942,Musical Romance War,9476
tt0034928,Jungle Book,1942,Action Adventure Family,7115
tt0035017,La main du diable,1943,Fantasy Horror,9100
tt0035027,The Man Who Wouldn't Die,1942,Crime Mystery,8402
tt0035123,The Night Has Eyes,1942,Horror Mystery Thriller,9155
tt0035279,Saboteur,1942,Thriller War,13666
tt0035370,Springtime in the Rockies,1942,Musical,5451
tt0035419,Tarzan's New York Adventure,1942,Action Adventure,5639
tt0035429,Went the Day Well?,1942,Thriller War,11294
tt0035468,I 3 aquilotti,1942,Romance War,6546
tt0035664,Bataan,1943,War,7856
tt0035703,Cabin in the Sky,1943,Fantasy Musical,9053
tt0035713,Captive Wild Woman,1943,Horror Sci-Fi,5030
tt0035795,Tarzan's Desert Mystery,1943,Adventure,5047
tt0035799,Destination Tokyo,1943,Adventure History War,11733
tt0035884,Five Graves to Cairo,1943,Thriller War,8985
tt0035899,Frankenstein Meets the Wolf Man,1943,Fantasy Horror Sci-Fi,4853
tt0036038,In Old Oklahoma,1943,Romance Western,10916
tt0036098,Lassie Come Home,1943,Adventure Family,5908
tt0036104,The Leopard Man,1943,Horror Thriller,6422
tt0036182,My Friend Flicka,1943,Family Western,6479
tt0036326,Saludos Amigos,1942,Animation Family Fantasy,3025
tt0036342,Shadow of a Doubt,1943,Thriller,14822
tt0036376,Son of Dracula,1943,Fantasy Horror,7647
tt0036391,Stormy Weather,1943,Musical,7487
tt0036414,Tarzan Triumphs,1943,Action Adventure War,3524
tt0036483,L'uomo dalla croce,1943,War,4206
tt0036591,Ali Baba and the Forty Thieves,1944,Adventure Fantasy Romance,6367
tt0036736,Cécile est morte!,1944,Crime,8607
tt0036792,Der Engel mit dem Saitenspiel,1944,Romance,9270
tt0036931,House of Frankenstein,1944,Fantasy Horror Sci-Fi,4817
tt0036959,The Invisible Man's Revenge,1944,Horror Sci-Fi,8465
tt0036980,Kato hayabusa sento-tai,1944,Action War,4149
tt0036984,Kismet,1944,Adventure Fantasy,9709
tt0037024,The Lodger,1944,Crime Horror Mystery,8419
tt0037098,The Mummy's Curse,1944,Fantasy Horror Thriller,4457
tt0037099,The Mummy's Ghost,1944,Fantasy Horror,4751
tt0037343,Tall in the Saddle,1944,Mystery Romance Western,9377
tt0037415,The Uninvited,1944,Fantasy Horror Mystery,12726
tt0037453,Weird Woman,1944,Horror Mystery,6441
tt0037549,The Body Snatcher,1945,Horror Thriller,7997
tt0037627,Dakota,1945,Western,10149
tt0037634,Dangerous Partners,1945,Adventure Mystery,5901
tt0037635,Dead of Night,1945,Horror,12730
