	Action	Adventure	Animation	Comedy	Crime	Drama	Family	Fantasy	History	Horror	Musical	Mystery	Romance	Sci-Fi	Thriller	War	Western
1	master, fight, brother	king, lord, princess	dog, cat, boy	eat, nice, food	police, gun, car	time, talk, make	dog, cat, boy	ghost, evil, magic	king, lord, princess	ghost, evil, magic	love, life, heart	police, found, murder	love, wife, married	world, human, planet	house, door, night	war, men, army	town, horse, sheriff
2	police, gun, car	water, people, find	time, japanese, stop	guys, love, wait	man, guy, hell	mother, father, son	dad, mom, kids	love, life, heart	mother, father, son	house, door, night	master, fight, brother	house, door, night	time, talk, make	plane, ship, fire	man, bomb, security	man, guy, hell	money, pay, business
3	man, bomb, security	gold, find, treasure	world, human, planet	dog, cat, boy	fuck, fucking, shit	love, life, heart	time, talk, make	man, guy, hell	war, men, army	kill, man, dead	stop, wait, shut	leave, understand, excuse	love, life, heart	time, talk, make	police, found, murder	mother, father, son	time, talk, make
4	kill, man, dead	dog, cat, boy	ghost, evil, magic	love, wife, married	police, found, murder	court, case, lawyer	mother, father, son	stop, wait, shut	people, country, government	man, laughing, chuckles	town, horse, sheriff	man, guy, hell	love, son, heart	man, guy, hell	kill, man, dead	people, thing, great	leave, understand, excuse
5	love, son, heart	boat, sea, ship	love, life, heart	excuse, man, hotel	money, pay, business	people, country, government	eat, nice, food	time, talk, make	time, japanese, stop	stop, wait, shut	man, guy, hell	kill, man, dead	people, thing, great	sir, girl, happened	leave, understand, excuse	uncle, time, boss	war, men, army
6	plane, ship, fire	world, human, planet	stop, wait, shut	love, woman, sex	man, baby, shit	money, pay, business	water, people, find	excuse, man, hotel	excuse, man, hotel	doctor, hospital, blood	work, job, office	dear, man, young	guys, love, wait	dear, man, young	fuck, fucking, shit	nice, bit, guy	stop, wait, shut
7	man, guy, hell	time, talk, make	love, son, heart	people, thing, great	court, case, lawyer	nice, bit, guy	game, team, ball	king, lord, princess	leave, understand, excuse	dear, man, young	guys, love, wait	time, talk, make	excuse, man, hotel	man, laughing, chuckles	time, talk, make	dear, man, young	master, fight, brother
8	stop, wait, shut	man, laughing, chuckles	king, lord, princess	uncle, time, boss	kill, man, dead	man, people, village	man, people, village	eat, nice, food	guys, love, wait	fuck, fucking, shit	time, talk, make	people, thing, great	love, woman, sex	kill, man, dead	police, gun, car	man, people, village	police, gun, car
9	win, game, fight	excuse, man, hotel	war, men, army	man, guy, hell	time, life, understand	war, men, army	ghost, evil, magic	kill, man, dead	man, bomb, security	man, guy, hell	dear, man, young	excuse, man, hotel	young, bastard, hee	stop, wait, shut	stop, wait, shut	time, life, understand	love, son, heart
10	world, human, planet	ghost, evil, magic	water, people, find	show, laughter, audience	dear, man, young	dad, mom, kids	police, gun, car	work, job, office	doctor, hospital, blood	uncle, time, boss	love, son, heart	mother, father, son	man, guy, hell	man, bomb, security	man, laughing, chuckles	man, laughing, chuckles	water, people, find
