	Action	Adventure	Animation	Comedy	Crime	Drama	Family	Fantasy	History	Horror	Musical	Mystery	Romance	Sci-Fi	Thriller	War	Western
1	hell, guy, guys	man, find, water	dog, cat, boy	guys, great, time	police, killed, found	time, talk, things	dog, cat, boy	world, power, monster	war, men, army	house, door, room	show, sing, play	police, killed, found	dear, darling, night	time, power, planet	hell, guy, guys	war, men, army	man, horse, town
2	master, uncle, brother	boat, ship, sea	love, life, heart	eat, put, water	police, car, find	mother, father, child	eat, put, water	love, life, heart	king, majesty, highness	world, power, monster	love, life, heart	house, door, room	love, married, wife	minute, wait, man	police, killed, found	time, talk, things	man, kill, die
3	man, kill, die	king, majesty, highness	world, power, monster	leave, excuse, evening	hell, guy, guys	love, life, heart	guys, great, time	guys, great, time	leave, excuse, evening	hell, guy, guys	minute, wait, man	time, talk, things	call, car, phone	man, kill, die	time, talk, things	minute, wait, man	time, life, understand
4	police, car, find	dog, cat, boy	guys, great, time	love, stop, girl	fucking, fuck, man	war, men, army	dad, mom, home	eat, put, water	police, car, find	doctor, hospital, patient	love, married, wife	dear, darling, night	love, life, heart	doctor, hospital, patient	time, life, understand	love, life, heart	leave, excuse, evening
5	brother, today, girl	time, power, planet	minute, wait, man	call, car, phone	minute, wait, man	time, life, understand	mother, father, child	time, talk, things	minute, wait, man	music, man, chuckles	police, car, find	love, life, heart	time, talk, things	time, talk, things	music, man, chuckles	eat, put, water	sir, man, morning
6	time, power, planet	man, kill, die	wait, home, stop	minute, wait, man	bit, bloody, time	man, church, priest	king, majesty, highness	dear, darling, night	man, kill, die	dear, darling, night	dear, darling, night	call, car, phone	brother, today, girl	brother, today, girl	man, kill, die	dear, darling, night	guys, great, time
7	wait, home, stop	world, power, monster	king, majesty, highness	love, married, wife	time, life, understand	money, pay, work	game, win, play	hell, guy, guys	time, life, understand	film, movie, camera	people, country, government	brother, today, girl	guys, great, time	time, life, understand	leave, excuse, evening	man, kill, die	money, pay, work
8	boat, ship, sea	dear, darling, night	time, power, planet	dear, darling, night	money, pay, work	people, country, government	world, power, monster	minute, wait, man	people, country, government	man, church, priest	brother, today, girl	man, kill, die	minute, wait, man	music, man, chuckles	house, door, room	car, plane, train	dad, mom, home
9	world, power, monster	police, car, find	police, car, find	show, sing, play	court, color, font	fucking, fuck, man	police, car, find	man, kill, die	man, church, priest	police, killed, found	man, horse, town	time, life, understand	write, book, read	lord, man, master	brother, today, girl	village, people, work	minute, wait, man
10	car, plane, train	car, plane, train	boat, ship, sea	man, comin, baby	call, car, phone	court, color, font	brother, today, girl	time, life, understand	hell, guy, guys	love, stop, girl	money, pay, work	music, man, chuckles	war, men, army	love, stop, girl	police, car, find	police, killed, found	game, win, play
