	Action	Adventure	Animation	Comedy	Crime	Drama	Family	Fantasy	History	Horror	Musical	Mystery	Romance	Sci-Fi	Thriller	War	Western
1	house, door, night	house, door, night	house, door, night	time, talk, make	ghost, evil, magic	ghost, evil, magic	fuck, fucking, shit	sir, man, men	ghost, evil, magic	king, lord, princess	doctor, hospital, blood	show, laughter, audience	ghost, evil, magic	time, japanese, stop	eat, nice, food	world, human, planet	sir, girl, happened
2	nice, bit, guy	fuck, fucking, shit	love, woman, sex	house, door, night	world, human, planet	world, human, planet	love, woman, sex	church, priest, man	people, thing, great	money, pay, business	water, people, find	people, country, government	kill, man, dead	boat, sea, ship	dog, cat, boy	master, fight, brother	color, font, plckman
3	man, people, village	doctor, hospital, blood	dad, mom, kids	kill, man, dead	war, men, army	dog, cat, boy	kill, man, dead	show, laughter, audience	world, human, planet	police, gun, car	book, read, write	eat, nice, food	gold, find, treasure	dog, cat, boy	love, wife, married	music, dramatic, instrumental	show, laughter, audience
4	doctor, hospital, blood	police, found, murder	sir, girl, happened	mother, father, son	master, fight, brother	guys, love, wait	young, bastard, hee	vous, pas, les	work, job, office	nice, bit, guy	car, drive, road	vous, pas, les	leave, understand, excuse	ghost, evil, magic	world, human, planet	gold, find, treasure	car, drive, road
5	love, woman, sex	man, people, village	kill, man, dead	fuck, fucking, shit	water, people, find	gold, find, treasure	doctor, hospital, blood	money, pay, business	nice, bit, guy	love, life, heart	boat, sea, ship	sir, man, men	dog, cat, boy	master, fight, brother	man, people, village	show, laughter, audience	bloody, bit, mate
6	leave, understand, excuse	love, woman, sex	man, guy, hell	police, found, murder	guys, love, wait	police, gun, car	uncle, time, boss	doctor, hospital, blood	police, gun, car	master, fight, brother	kill, man, dead	uncle, time, boss	man, bomb, security	guys, love, wait	master, fight, brother	king, lord, princess	work, job, office
7	love, life, heart	love, life, heart	sir, man, men	water, people, find	doctor, hospital, blood	man, bomb, security	police, found, murder	book, read, write	show, laughter, audience	court, case, lawyer	king, lord, princess	car, drive, road	police, found, murder	game, team, ball	time, japanese, stop	work, job, office	man, baby, shit
8	police, found, murder	church, priest, man	love, wife, married	plane, ship, fire	dad, mom, kids	police, found, murder	house, door, night	game, team, ball	spanish, speaking, language	love, wife, married	sir, girl, happened	king, lord, princess	police, gun, car	love, life, heart	people, country, government	police, found, murder	dog, cat, boy
9	dear, man, young	love, wife, married	excuse, man, hotel	man, bomb, security	people, country, government	leave, understand, excuse	church, priest, man	love, son, heart	man, baby, shit	man, people, village	ghost, evil, magic	love, woman, sex	show, laughter, audience	nice, bit, guy	love, son, heart	game, team, ball	house, door, night
10	people, country, government	people, country, government	fuck, fucking, shit	police, gun, car	school, teacher, class	town, horse, sheriff	color, font, plckman	boat, sea, ship	gold, find, treasure	people, country, government	vous, pas, les	win, game, fight	fuck, fucking, shit	school, teacher, class	gold, find, treasure	town, horse, sheriff	plane, ship, fire
