	Action	Adventure	Animation	Comedy	Crime	Drama	Family	Fantasy	History	Horror	Musical	Mystery	Romance	Sci-Fi	Thriller	War	Western
1	leave, excuse, evening	police, killed, found	man, horse, town	time, talk, things	world, power, monster	world, power, monster	love, stop, girl	brother, today, girl	guys, great, time	king, majesty, highness	world, power, monster	love, married, wife	police, killed, found	boat, ship, sea	village, people, work	brother, today, girl	boat, ship, sea
2	house, door, room	house, door, room	sir, man, morning	man, kill, die	war, men, army	man, horse, town	hell, guy, guys	man, church, priest	dog, cat, boy	war, men, army	film, movie, camera	love, stop, girl	world, power, monster	police, car, find	love, life, heart	guys, great, time	world, power, monster
3	time, talk, things	love, married, wife	mother, father, child	police, killed, found	time, power, planet	time, power, planet	wait, home, stop	boat, ship, sea	world, power, monster	love, married, wife	time, talk, things	money, pay, work	house, door, room	war, men, army	master, uncle, brother	man, horse, town	time, power, planet
4	eat, put, water	people, country, government	doctor, hospital, patient	mother, father, child	guys, great, time	house, door, room	doctor, hospital, patient	spanish, pesos, jos̩	eat, put, water	money, pay, work	man, kill, die	dog, cat, boy	leave, excuse, evening	wait, home, stop	man, comin, baby	world, power, monster	school, class, teacher
5	village, people, work	doctor, hospital, patient	man, church, priest	fucking, fuck, man	dog, cat, boy	police, car, find	fucking, fuck, man	school, class, teacher	time, power, planet	love, life, heart	hell, guy, guys	lord, man, master	doctor, hospital, patient	guys, great, time	pas, vous, les	show, sing, play	dog, cat, boy
6	doctor, hospital, patient	love, stop, girl	leave, excuse, evening	love, life, heart	house, door, room	dog, cat, boy	leave, excuse, evening	time, power, planet	master, uncle, brother	people, country, government	time, life, understand	man, comin, baby	police, car, find	dad, mom, home	spanish, pesos, jos̩	court, color, font	master, uncle, brother
7	show, sing, play	time, talk, things	dear, darling, night	war, men, army	eat, put, water	show, sing, play	francs, french, love	sir, man, morning	spanish, pesos, jos̩	police, car, find	wait, home, stop	world, power, monster	dog, cat, boy	village, people, work	school, class, teacher	time, power, planet	lord, man, master
8	dog, cat, boy	school, class, teacher	dad, mom, home	music, man, chuckles	show, sing, play	guys, great, time	police, killed, found	police, killed, found	sir, man, morning	eat, put, water	bit, bloody, time	king, majesty, highness	wait, home, stop	call, car, phone	francs, french, love	time, life, understand	man, comin, baby
9	money, pay, work	village, people, work	brother, today, girl	doctor, hospital, patient	film, movie, camera	leave, excuse, evening	love, married, wife	leave, excuse, evening	car, plane, train	man, comin, baby	house, door, room	write, book, read	mother, father, child	man, church, priest	love, married, wife	love, stop, girl	call, car, phone
10	write, book, read	time, life, understand	money, pay, work	house, door, room	doctor, hospital, patient	man, find, water	time, life, understand	wait, home, stop	write, book, read	bit, bloody, time	dad, mom, home	court, color, font	sir, man, morning	eat, put, water	court, color, font	film, movie, camera	wait, home, stop
