	Action	Adventure	Animation	Comedy	Crime	Drama	Family	Fantasy	History	Horror	Musical	Mystery	Romance	Sci-Fi	Thriller	War	Western
1	time, night, home	fucking, fuck, shit	fucking, fuck, shit	time, night, home	ghost, ghosts, night	ghost, ghosts, night	fucking, fuck, shit	jack, yoÏ…, alex	love, sex, women	money, pay, business	master, sword, emperor	time, stop, eat	kill, dead, killed	dog, boy, cat	dog, boy, cat	human, world, virus	time, wait, stop
2	door, house, stay	doctor, hospital, patient	dad, mom, home	door, house, stay	find, forest, stay	dog, boy, cat	love, sex, women	master, sword, emperor	ghost, ghosts, night	police, gun, cop	stop, young, bastard	dog, boy, cat	ghost, ghosts, night	boat, island, sea	time, wait, stop	find, gold, found	car, drive, stop
3	leave, man, wait	time, night, home	kill, dead, killed	case, police, found	world, time, man	guys, dude, party	shit, hell, ass	church, priest, man	time, love, make	king, princess, queen	people, life, things	nice, home, stop	case, police, found	time, wait, stop	human, world, virus	shit, hell, ass	game, play, team
4	love, sex, women	people, country, government	chuckles, man, woman	fucking, fuck, shit	time, world, years	find, gold, found	man, shit, ass	plane, ship, sir	work, job, company	love, stop, leave	man, move, sir	color, font, fontcolor	police, gun, cop	speaking, man, spanish	war, men, soldier	man, girl, leave	tree, time, snow
5	love, stop, leave	church, priest, man	time, night, home	time, love, make	war, men, soldier	man, move, sir	kill, dead, killed	human, world, virus	guys, dude, party	dog, boy, cat	phone, call, number	master, sword, emperor	world, time, man	police, gun, cop	time, stop, eat	love, sex, women	boat, island, sea
6	love, married, wife	door, house, stay	love, sex, women	love, life, heart	human, world, virus	door, house, stay	people, life, things	fucking, fuck, shit	dog, boy, cat	village, people, water	king, princess, queen	man, shit, ass	money, pay, business	nice, home, stop	love, married, wife	phone, call, number	phone, call, number
7	book, read, write	case, police, found	nice, home, stop	kill, dead, killed	song, show, dance	kill, dead, killed	time, stop, eat	war, men, soldier	human, world, virus	love, life, heart	fucking, fuck, shit	people, country, government	door, house, stay	ghost, ghosts, night	song, show, dance	find, forest, stay	song, show, dance
8	case, police, found	song, show, dance	speaking, man, spanish	world, time, man	tree, time, snow	tree, time, snow	love, married, wife	people, country, government	kill, dead, killed	love, married, wife	time, night, home	song, show, dance	king, princess, queen	game, play, team	time, world, years	music, dramatic, instrumental	dad, mom, home
9	people, life, things	people, life, things	doctor, hospital, patient	war, men, soldier	guys, dude, party	love, married, wife	human, world, virus	father, mother, son	phone, call, number	tree, time, snow	ghost, ghosts, night	brother, uncle, sister	fucking, fuck, shit	school, class, teacher	stop, young, bastard	game, play, team	time, world, years
10	doctor, hospital, patient	eat, food, make	door, house, stay	father, mother, son	door, house, stay	time, stop, eat	time, night, home	heart, today, love	find, forest, stay	nice, home, stop	game, play, team	sir, police, people	church, priest, man	work, job, company	leave, man, wait	time, stop, eat	dog, boy, cat
