,jaccard_sim,f1_micro,f1_macro,f1_weighted,f1_samples,hamming_loss,accuracy_percentage,accuracy_number
BR-LSVC,0.4681473127262601,0.5580211525235772,0.3588391231106242,0.5100354494991807,0.5595561125034808,0.08860681114551083,0.2183625730994152,186.7
BR-SVC,0.4720721247563353,0.5589503551157229,0.34423398876880645,0.5020932211172635,0.5615455304928989,0.08685930512555899,0.2274853801169591,194.5
ExtraTrees,0.39007602339181285,0.4682384576507525,0.20386796359422465,0.38497585568353887,0.46407797270955153,0.09403508771929824,0.19801169590643272,169.3
LP-LSVC,0.4574561403508771,0.520500604766028,0.3783319257979597,0.5063287496353573,0.5470760233918128,0.10685242518059854,0.22526315789473683,192.6
LP-SVC,0.4770740740740741,0.5491102390722973,0.35965517140847714,0.5001349289976196,0.5634152046783625,0.09415892672858617,0.24888888888888888,212.8
MLPC,0.44686577554998613,0.5506202670578535,0.42443229102945407,0.5434317280855341,0.5486204399888611,0.10476780185758514,0.16912280701754384,144.6
RandomForest,0.38683235867446397,0.4628131783170094,0.18153194448224136,0.3735926301017344,0.4621520467836257,0.0952390780873753,0.19239766081871343,164.5
kNN,0.43034113060428847,0.5246721658023377,0.37023318616786965,0.49348001966310084,0.522482873851295,0.10070863433092533,0.18304093567251462,156.5
