,jaccard_sim,f1_micro,f1_macro,f1_weighted,f1_samples,hamming_loss,accuracy_percentage,accuracy_number
BR-LSVC,0.47975438596491227,0.5709461555963644,0.38871842348654945,0.5272211582284377,0.5716116469625241,0.08684554523563812,0.2254970760233918,192.8
BR-SVC,0.47547563352826516,0.5626290377726928,0.3481870685149656,0.5065539174307399,0.5632570314675579,0.08562091503267974,0.23309941520467836,199.3
ExtraTrees,0.3707875243664717,0.44511053997558453,0.1699572549690923,0.3521327242478947,0.44058089668615985,0.09611971104231166,0.18994152046783624,162.4
LP-LSVC,0.4373703703703704,0.49710108932872377,0.3687235164936967,0.4959933487795077,0.526877192982456,0.11701410388716889,0.20842105263157898,178.2
LP-SVC,0.47626120857699794,0.5462480219860261,0.35868100003009323,0.4937853643328346,0.5609746588693957,0.09353973168214655,0.25169590643274853,215.2
MLPC,0.4161675485008819,0.5222825959510141,0.40856554942032675,0.5228320743650885,0.5196971131532535,0.11706914344685242,0.13999999999999999,119.7
RandomForest,0.36932748538011695,0.44310838626146987,0.15671212291033307,0.3478608862358482,0.44019883040935676,0.09679394564843483,0.1858479532163743,158.9
kNN,0.42782846003898645,0.5176656531371389,0.3603148472910614,0.48481790920970047,0.5170960735171263,0.10133470932232543,0.18526315789473685,158.4
