,jaccard_sim,f1_micro,f1_macro,f1_weighted,f1_samples,hamming_loss,accuracy_percentage,accuracy_number
BR-LSVC,0.47166861598440546,0.5624171592316288,0.38126978149932716,0.5186753925426227,0.5623024227234754,0.08807705538355692,0.2225730994152047,190.3
BR-SVC,0.4672923976608187,0.5543883059098655,0.34016387266350373,0.4983288186388909,0.5552052353104985,0.08692122463020295,0.2272514619883041,194.3
ExtraTrees,0.37660233918128655,0.4513209348242001,0.18086543031778288,0.3619002019132257,0.4474764689501531,0.09572067423460612,0.19157894736842104,163.8
LP-LSVC,0.4365302144249513,0.49736936116666175,0.36349421385941627,0.49318657020232176,0.5268538011695906,0.11585827313381492,0.2047953216374269,175.1
LP-SVC,0.47467056530214424,0.5425947891143376,0.3545299242832166,0.4930270519427328,0.5594775828460039,0.09436532507739939,0.2504093567251462,214.1
MLPC,0.4288401559454191,0.5324549192773003,0.41443867952484836,0.5311438511470695,0.5309562795878586,0.11239766081871345,0.15333333333333335,131.1
RandomForest,0.3733859649122807,0.44852795410611745,0.16651793057059494,0.35688485725738556,0.44531384015594544,0.09686962504299966,0.18678362573099414,159.7
kNN,0.4304639376218324,0.5224032828141734,0.36840186985477674,0.49149651475253486,0.5205101642996379,0.10064671482628137,0.18678362573099416,159.7
