,jaccard_sim,f1_micro,f1_macro,f1_weighted,f1_samples,hamming_loss,accuracy_percentage,accuracy_number
BR-LSVC,0.47226427179058766,0.5625755572615696,0.37492719073959413,0.5173016940898589,0.5637967140072403,0.08807705538355692,0.22128654970760236,189.2
BR-SVC,0.47038596491228074,0.5575025680279423,0.3451625099541275,0.5018234268471169,0.5587624617098301,0.08670794633642931,0.2287719298245614,195.6
ExtraTrees,0.37824951267056534,0.4533651214485602,0.18449342767181592,0.36486803852945265,0.45004288499025347,0.09547299621603027,0.19239766081871346,164.5
LP-LSVC,0.4530896686159845,0.5131554581777213,0.3725045915537681,0.502510406157268,0.5422027290448344,0.10923288613691089,0.2225730994152047,190.3
LP-SVC,0.477187134502924,0.5471135968081325,0.36201118991392695,0.4990469362900683,0.5632631578947369,0.09394564843481253,0.24877192982456142,212.7
MLPC,0.44643483709273185,0.5489548634744319,0.42881386545261657,0.5419819891535113,0.547855193539404,0.10555899552803578,0.16818713450292394,143.8
RandomForest,0.3723138401559454,0.44607604580970994,0.16221144856155234,0.35175171843168174,0.4431500974658869,0.09720674234606123,0.1886549707602339,161.3
kNN,0.42949707602339177,0.5226271864164247,0.3662210725259875,0.4919405633080759,0.5194592035644667,0.1003921568627451,0.1847953216374269,158.0
