,jaccard_sim,f1_micro,f1_macro,f1_weighted,f1_samples,hamming_loss,accuracy_percentage,accuracy_number
BR-LSVC,0.47539376218323587,0.5637373307011914,0.3752858097760562,0.5179209009075089,0.5667568922305763,0.08807705538355694,0.22596491228070176,193.2
BR-SVC,0.4705984405458089,0.5575724226230659,0.34064221986303866,0.5014334342308115,0.5590197716513506,0.08674234606123152,0.2286549707602339,195.5
ExtraTrees,0.383083820662768,0.4602954723938161,0.19118938288376996,0.3732546995764082,0.4563313840155945,0.0949982800137599,0.19228070175438597,164.4
LP-LSVC,0.4505263157894738,0.5130648268213807,0.37779913785557084,0.5049899451399477,0.5403586744639377,0.11023047815617475,0.21789473684210528,186.3
LP-SVC,0.47792982456140354,0.5482913325643104,0.3561340002062916,0.4973927392128825,0.5639688109161793,0.0937874097007224,0.25005847953216376,213.8
MLPC,0.4347808409913673,0.5378419446993385,0.4209322683214502,0.5340625340671019,0.537542745753272,0.1103955968352253,0.15567251461988305,133.1
RandomForest,0.3836159844054581,0.45841594119151496,0.17794126997339385,0.36957842540909275,0.456541910331384,0.09578947368421052,0.19461988304093567,166.4
kNN,0.43201169590643274,0.5253251466082701,0.3719365762523141,0.49425162514956966,0.5214113060428851,0.10036463708290336,0.18701754385964914,159.9
