,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,micro avg,macro avg,weighted avg,samples avg
f1-score,0.5970772442588727,0.45892351274787535,0.4631578947368421,0.6303270564915758,0.5545851528384279,0.7669172932330828,0.44755244755244755,0.18333333333333335,0.1081081081081081,0.6287625418060201,0.5365853658536585,0.3236994219653179,0.42328042328042326,0.38016528925619836,0.22127659574468087,0.6330935251798561,0.7964601769911505,0.5899014778325123,0.47960619902222773,0.5691056247224043,0.6068810916179337
precision,0.6217391304347826,0.5159235668789809,0.5116279069767442,0.7004405286343612,0.616504854368932,0.7334611697027804,0.5714285714285714,0.3142857142857143,0.25,0.6811594202898551,0.673469387755102,0.4745762711864407,0.5429864253393665,0.46,0.4482758620689655,0.6984126984126984,0.8035714285714286,0.6530334014996592,0.5657566433138072,0.625545255183985,0.7068226120857699
recall,0.5742971887550201,0.413265306122449,0.4230769230769231,0.572972972972973,0.503968253968254,0.8035714285714286,0.367816091954023,0.12941176470588237,0.06896551724137931,0.5838509316770186,0.44594594594594594,0.24561403508771928,0.3468208092485549,0.323943661971831,0.14689265536723164,0.5789473684210527,0.7894736842105263,0.5379000561482313,0.43051967878224784,0.5379000561482313,0.5869395711500974
support,249.0,196.0,52.0,555.0,252.0,952.0,87.0,85.0,58.0,161.0,74.0,114.0,346.0,71.0,177.0,76.0,57.0,3562.0,3562.0,3562.0,3562.0
