mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__class_weight,param_classifier__decision_function_shape,param_classifier__gamma,params,split0_test_jaccard_sim,split1_test_jaccard_sim,split2_test_jaccard_sim,split3_test_jaccard_sim,split4_test_jaccard_sim,split5_test_jaccard_sim,split6_test_jaccard_sim,split7_test_jaccard_sim,split8_test_jaccard_sim,split9_test_jaccard_sim,mean_test_jaccard_sim,std_test_jaccard_sim,rank_test_jaccard_sim,split0_test_f1_micro,split1_test_f1_micro,split2_test_f1_micro,split3_test_f1_micro,split4_test_f1_micro,split5_test_f1_micro,split6_test_f1_micro,split7_test_f1_micro,split8_test_f1_micro,split9_test_f1_micro,mean_test_f1_micro,std_test_f1_micro,rank_test_f1_micro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,split5_test_f1_macro,split6_test_f1_macro,split7_test_f1_macro,split8_test_f1_macro,split9_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,split5_test_f1_weighted,split6_test_f1_weighted,split7_test_f1_weighted,split8_test_f1_weighted,split9_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_test_f1_samples,split1_test_f1_samples,split2_test_f1_samples,split3_test_f1_samples,split4_test_f1_samples,split5_test_f1_samples,split6_test_f1_samples,split7_test_f1_samples,split8_test_f1_samples,split9_test_f1_samples,mean_test_f1_samples,std_test_f1_samples,rank_test_f1_samples,split0_test_hamming_loss,split1_test_hamming_loss,split2_test_hamming_loss,split3_test_hamming_loss,split4_test_hamming_loss,split5_test_hamming_loss,split6_test_hamming_loss,split7_test_hamming_loss,split8_test_hamming_loss,split9_test_hamming_loss,mean_test_hamming_loss,std_test_hamming_loss,rank_test_hamming_loss,split0_test_accuracy_percentage,split1_test_accuracy_percentage,split2_test_accuracy_percentage,split3_test_accuracy_percentage,split4_test_accuracy_percentage,split5_test_accuracy_percentage,split6_test_accuracy_percentage,split7_test_accuracy_percentage,split8_test_accuracy_percentage,split9_test_accuracy_percentage,mean_test_accuracy_percentage,std_test_accuracy_percentage,rank_test_accuracy_percentage,split0_test_accuracy_number,split1_test_accuracy_number,split2_test_accuracy_number,split3_test_accuracy_number,split4_test_accuracy_number,split5_test_accuracy_number,split6_test_accuracy_number,split7_test_accuracy_number,split8_test_accuracy_number,split9_test_accuracy_number,mean_test_accuracy_number,std_test_accuracy_number,rank_test_accuracy_number
28.790279603004457,1.1360652265725366,59.14602551460266,5.99380233447664,1000000000.0,,ovr,1e-07,"{'classifier__C': 1000000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovr', 'classifier__gamma': 1e-07}",0.4764912280701754,0.5107797270955166,0.5133528265107212,0.48333333333333334,0.47044834307992206,0.4658479532163743,0.44803118908382067,0.45323586744639377,0.44742690058479534,0.42955165692007796,0.469849902534113,0.025862832033777535,59,0.5572366542963174,0.5956572769953051,0.584140435835351,0.5516815797593336,0.5393676379417235,0.539766081871345,0.5388661601402689,0.5288258376094175,0.5187424425634825,0.5252113086563683,0.5479495415668911,0.023759021952261216,177,0.4071959083872824,0.45749029323190077,0.46892052300254067,0.4490166135752614,0.412608570236832,0.40941979278198487,0.4167401306997469,0.40363235360147465,0.38762746230890877,0.4268974131644455,0.42395490609903785,0.024877482952382717,179,0.5615332373005597,0.5844040539063564,0.5772838690518283,0.5369931918219053,0.5259762222391672,0.5276234280771114,0.5262212537040307,0.5187936172731704,0.5083172171381918,0.5117255674880533,0.5378871658000376,0.02565646131508296,173,0.5707992202729045,0.6089278752436649,0.6082651072124757,0.5760623781676414,0.5640935672514621,0.5609746588693957,0.5536842105263158,0.5459649122807017,0.5375438596491229,0.5261988304093567,0.565251461988304,0.025930059029474598,107,0.10670794633642931,0.09480564155486756,0.09453044375644995,0.0999656002751978,0.1022359821121431,0.10829033367733058,0.1085655314757482,0.10739594083247334,0.10952872377020983,0.11207430340557276,0.10441004471964224,0.0058804173867548415,559,0.22456140350877193,0.23976608187134502,0.25146198830409355,0.23859649122807017,0.22923976608187135,0.21754385964912282,0.1695906432748538,0.21169590643274855,0.20818713450292398,0.18011695906432748,0.21707602339181287,0.02468473629618324,47,192.0,205.0,215.0,204.0,196.0,186.0,145.0,181.0,178.0,154.0,185.6,21.10544953323667,47
156.3086608171463,6.105940052985102,52.45949597358704,8.030064664426058,1000000000.0,,ovr,1e-06,"{'classifier__C': 1000000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovr', 'classifier__gamma': 1e-06}",0.4651851851851852,0.5145808966861599,0.5174658869395712,0.4764717348927875,0.4681286549707602,0.45816764132553606,0.4477192982456141,0.45588693957115006,0.4541325536062378,0.42458089668615984,0.46823196881091617,0.02725446534775185,93,0.5542922114837976,0.597515169026293,0.5896747239629961,0.54434250764526,0.5473554735547356,0.5360884749708964,0.5372093023255814,0.538576109621686,0.5251733494121194,0.5208153890324433,0.5491042711035808,0.02415971309766209,173,0.41108416026554806,0.464219806983043,0.47918231186391463,0.4505698138882104,0.42377034915810413,0.40259779715953503,0.41680989129612034,0.42739206092982984,0.39990555601829525,0.4205891799141269,0.42961209274767276,0.025167489313238058,157,0.5594190846958232,0.5895473471042287,0.5846010501846359,0.5319511953926316,0.5350656690721624,0.5246076716051157,0.5262992637026894,0.5346757988293462,0.515745313728203,0.5096030974185869,0.5411515491733423,0.026196196125939476,155,0.5633918128654971,0.6119298245614035,0.6127095516569201,0.5689668615984406,0.5639766081871345,0.5559454191033139,0.5535282651072124,0.5511890838206628,0.5452631578947369,0.5258479532163743,0.5652748538011696,0.02612274323298509,105,0.10787753697970416,0.0958376332989336,0.09459924320605435,0.10251117991056072,0.10127278981768145,0.10966632266941864,0.10952872377020983,0.1065703474372205,0.10835913312693499,0.11482628138974889,0.10510491916064672,0.00610713225687659,523,0.20116959064327486,0.24561403508771928,0.25263157894736843,0.23625730994152047,0.2198830409356725,0.20350877192982456,0.1695906432748538,0.20584795321637428,0.21052631578947367,0.16608187134502925,0.2111111111111111,0.027495332278095187,73,172.0,210.0,216.0,202.0,188.0,174.0,145.0,176.0,180.0,142.0,180.5,23.508509097771384,73
1319.275546693802,103.90534732283884,45.824116826057434,1.7667581754219526,1000000000.0,,ovr,1e-05,"{'classifier__C': 1000000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovr', 'classifier__gamma': 1e-05}",0.45865497076023387,0.5074658869395712,0.5195321637426901,0.4796881091617934,0.46654970760233916,0.4648343079922027,0.45446393762183235,0.45994152046783626,0.43567251461988304,0.43099415204678365,0.4677797270955165,0.026667141808632503,95,0.5485682201010668,0.5943152454780362,0.595119082622758,0.55110039192041,0.5447919829942302,0.5456614509246088,0.5414872236577664,0.544378698224852,0.5219668315391329,0.5269768769626035,0.5514366004425465,0.02334123136962295,145,0.40283679636901143,0.46720236525835057,0.48743472465907045,0.4563176872452466,0.41818462005196116,0.4156707265046736,0.4309371536438304,0.4306200335196064,0.38813735723622794,0.42363276073759,0.43209742252255684,0.028650390284016683,119,0.5554171876622864,0.5854092499949929,0.5930296262971121,0.542017293423505,0.5343004938092387,0.5364734513319894,0.5355971921934645,0.5398073243811111,0.5182807933599304,0.5184542723476006,0.5458786884801231,0.024022064211831732,97,0.5557894736842106,0.6057309941520468,0.6164912280701753,0.5751267056530215,0.5646003898635478,0.5646003898635478,0.5587914230019493,0.5597270955165692,0.53364522417154,0.5340350877192983,0.5668538011695907,0.025440117361719968,79,0.1106295149638803,0.09721362229102168,0.09473684210526316,0.10244238046095631,0.10313037495700035,0.10987272101823185,0.10987272101823185,0.10595115239078087,0.1130374957000344,0.11400068799449604,0.1060887512899897,0.006243715888290842,485,0.2,0.23391812865497075,0.24678362573099416,0.2304093567251462,0.21169590643274855,0.19883040935672514,0.18011695906432748,0.19649122807017544,0.1742690058479532,0.1672514619883041,0.2039766081871345,0.02527073743781132,131,171.0,200.0,211.0,197.0,181.0,170.0,154.0,168.0,149.0,143.0,174.4,21.606480509328676,131
2297.528498864174,1499.424871181512,49.68394770622253,3.4338522923701484,1000000000.0,,ovr,0.0001,"{'classifier__C': 1000000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovr', 'classifier__gamma': 0.0001}",0.4582846003898635,0.5051461988304093,0.5145029239766081,0.4711695906432748,0.4550682261208577,0.4571929824561403,0.4516764132553606,0.4524171539961014,0.4326120857699805,0.43239766081871345,0.463046783625731,0.025912529406111513,145,0.5499438832772165,0.597623089983022,0.5937953029863728,0.551026480214222,0.5479452054794521,0.5432029271038559,0.5459641255605382,0.5436950146627566,0.5240825688073395,0.5281090289608177,0.5525387627035593,0.02319478878757441,131,0.4119245137811167,0.47003008892413034,0.4824529321649756,0.46004552048013725,0.43048015087889585,0.4154484904483655,0.43526122189887273,0.42844238471064683,0.3923224427762951,0.4189113757510979,0.43453191218145343,0.02676272003586362,107,0.5557953860431868,0.5904495845555097,0.5915832019754922,0.540355204505448,0.542948629189807,0.5353461461927472,0.5420073935489114,0.5400440744465284,0.5209836028038819,0.520261672678442,0.5479774895939954,0.023674487459473488,85,0.5553606237816764,0.6077972709551658,0.61317738791423,0.5716569200779726,0.557972709551657,0.5584015594541911,0.5592592592592592,0.550682261208577,0.5307992202729045,0.5363352826510721,0.5641442495126706,0.025699827837855897,151,0.11035431716546268,0.0978328173374613,0.09638802889576883,0.10381836945304437,0.104437564499484,0.11166150670794633,0.11145510835913312,0.10705194358445133,0.11420708634330926,0.11434468524251806,0.10715514275885793,0.006097684777804277,467,0.19298245614035087,0.21754385964912282,0.23976608187134502,0.20818713450292398,0.18128654970760233,0.18947368421052632,0.16374269005847952,0.19298245614035087,0.17076023391812867,0.16140350877192983,0.19181286549707602,0.023461883355545887,199,165.0,186.0,205.0,178.0,155.0,162.0,140.0,165.0,146.0,138.0,164.0,20.059910268991732,199
43.451065516471864,1.5804754490255142,50.40692167282104,1.8404226708276528,1000000000.0,,ovr,0.001,"{'classifier__C': 1000000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovr', 'classifier__gamma': 0.001}",0.4777192982456141,0.5078167641325536,0.5117348927875244,0.4766471734892787,0.4622612085769981,0.4539766081871345,0.4619883040935672,0.4593372319688109,0.4446003898635478,0.4404288499025341,0.4696510721247563,0.022996906061589013,61,0.5715902659875496,0.6023341873042982,0.5910813174001749,0.5560859188544154,0.5511858300810567,0.5426708250637935,0.5546409310246949,0.5517647058823529,0.5345622119815668,0.5309028766733124,0.5586819070253216,0.02204260769963099,29,0.43107230637694705,0.4766495929171307,0.4806098841903926,0.45050765620915056,0.43522777378729194,0.4094625320798985,0.4499313349895065,0.439968095943302,0.3895284184542498,0.4113417923454755,0.4374299387293345,0.02745730265389123,61,0.5748252715381765,0.5948031892816614,0.5880521882645965,0.5452086084807187,0.544103656460843,0.5323960152000055,0.5458713350753773,0.5473658681069339,0.5295040379485949,0.5203903233738867,0.5522520493730794,0.02389413769223688,43,0.5765302144249512,0.611617933723197,0.6102144249512671,0.5759454191033139,0.5624171539961014,0.5553606237816765,0.5685769980506823,0.5579337231968812,0.5439766081871346,0.5446783625730994,0.5707251461988304,0.022715234587486966,33,0.10416236670106639,0.09611283109735122,0.09652562779497764,0.10237358101135191,0.10285517715858274,0.11097351221190231,0.10794633642930856,0.10485036119711043,0.11117991056071551,0.11331269349845201,0.10502923976608186,0.005609514087798809,527,0.20584795321637428,0.2198830409356725,0.23859649122807017,0.21052631578947367,0.1953216374269006,0.1847953216374269,0.17543859649122806,0.19649122807017544,0.1824561403508772,0.1695906432748538,0.19789473684210526,0.02021599449526313,139,176.0,188.0,204.0,180.0,167.0,158.0,150.0,168.0,156.0,145.0,169.2,17.284675293449975,139
14.397685146331787,0.21961819655640577,49.96660692691803,1.0991572497734368,1000000000.0,,ovr,0.01,"{'classifier__C': 1000000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovr', 'classifier__gamma': 0.01}",0.47951267056530217,0.4957504873294347,0.5082066276803119,0.47142300194931774,0.4546003898635478,0.4518518518518519,0.4574269005847953,0.4479922027290449,0.44253411306042884,0.4313255360623781,0.46406237816764134,0.023069058609795315,109,0.5739628040057225,0.5894378194207837,0.5867060561299852,0.550497437443473,0.5423522242535039,0.5447247706422019,0.5505842120262182,0.5350851000298597,0.5354651162790698,0.5208873523480264,0.5529702892578846,0.02181016862819183,97,0.4330443344813024,0.4599467683265404,0.47482477651936605,0.44031116277064913,0.42315036090545916,0.40946561277249255,0.44226846510841616,0.4190768212469603,0.3936282990202795,0.41511416703405446,0.431083076818552,0.023006141265655162,125,0.5721045048806604,0.581915519635354,0.5813915341126301,0.5378315854137066,0.53350354690017,0.5324055631749205,0.5400442946820297,0.5266834321403249,0.5271340112555198,0.5076191564061519,0.5440633148601468,0.024148976944775993,111,0.5791812865497077,0.5965692007797271,0.6075243664717349,0.5711111111111111,0.5510331384015594,0.5544639376218323,0.562962962962963,0.5461208576998051,0.5416764132553606,0.5332943469785575,0.5643937621832359,0.022925110698499094,115,0.10244238046095631,0.09948400412796697,0.09625042999656003,0.10257997936016512,0.10333677330581355,0.10925352597179222,0.1084967320261438,0.10712074303405572,0.10994152046783626,0.11441348469212247,0.10533195734434125,0.00518548895684366,493,0.1976608187134503,0.2152046783625731,0.23157894736842105,0.20701754385964913,0.2,0.17777777777777778,0.1742690058479532,0.18596491228070175,0.17894736842105263,0.1672514619883041,0.1935672514619883,0.019333655268791272,165,169.0,184.0,198.0,177.0,171.0,152.0,149.0,159.0,153.0,143.0,165.5,16.53027525481654,165
67.66775379180908,2.1805754167025073,50.70196561813354,1.9047103155304503,1000000000.0,,ovr,0.1,"{'classifier__C': 1000000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovr', 'classifier__gamma': 0.1}",0.4225730994152046,0.45403508771929824,0.46192982456140347,0.40970760233918124,0.4128460038986355,0.3783235867446394,0.4078362573099415,0.4046588693957115,0.411364522417154,0.3609746588693957,0.4124249512670565,0.028609806738460208,225,0.4912280701754386,0.5279357644697223,0.5298245614035088,0.46390278770550397,0.4730796841349605,0.43874058863791926,0.4815940560621411,0.473884469041854,0.4679958027282266,0.42882126617698496,0.477700705053626,0.03109048205556876,215,0.22880482059705928,0.28276096875826134,0.2801117097584312,0.2598171716156478,0.24163734454252642,0.24963105488070597,0.28169985267754893,0.2691514848048678,0.25598007022417346,0.21677417680641473,0.25663686546656367,0.021602258026385414,259,0.43630308996250033,0.4605170655953037,0.4610138555759113,0.38445450874369114,0.39639302763130024,0.3676121840675451,0.4095180336806401,0.4070666841849104,0.3978802749865196,0.34834698297116456,0.4069105707399487,0.03513127071937994,229,0.4996881091617934,0.5389473684210527,0.543664717348928,0.4834307992202729,0.48978557504873294,0.45290448343079925,0.4930214424951267,0.4827680311890838,0.4847953216374269,0.43341130604288497,0.49024171539961015,0.0317475969705056,227,0.10175438596491228,0.09707602339181287,0.09219126246990024,0.10319917440660474,0.10099759201926385,0.1128310973512212,0.10560715514275885,0.10464396284829722,0.10464396284829722,0.11234950120399037,0.10352941176470588,0.005924411647556218,571,0.21871345029239767,0.22807017543859648,0.24678362573099416,0.21637426900584794,0.21169590643274855,0.18596491228070175,0.1871345029239766,0.1976608187134503,0.21871345029239767,0.17660818713450294,0.20877192982456141,0.020561190612899644,81,187.0,195.0,211.0,185.0,181.0,159.0,160.0,169.0,187.0,151.0,178.5,17.579817974029197,81
120.75420918464661,3.0667397121550826,49.65056254863739,3.044103203730774,1000000000.0,,ovr,1.0,"{'classifier__C': 1000000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovr', 'classifier__gamma': 1.0}",0.3360623781676413,0.324756335282651,0.35419103313840156,0.30838206627680315,0.3298245614035088,0.2793372319688109,0.3206627680311891,0.32339181286549706,0.35058479532163744,0.27738791423001946,0.32045808966861594,0.024689417394070306,505,0.3795841209829868,0.37318435754189944,0.40139211136890945,0.3478596220593907,0.3774604399845619,0.31149382253837515,0.3647798742138365,0.36391554702495205,0.38131699846860645,0.3273146369573569,0.36283015311408756,0.025605869201087348,299,0.04385020847574587,0.04346694429984383,0.044916271593383114,0.04154024106080163,0.042804621848739496,0.03850603970935346,0.04377162891882811,0.04195989908378701,0.0433344935607379,0.0391238462598154,0.04232741948110358,0.0019816095843397776,421,0.2080867098673488,0.20229943420861746,0.22768178301005912,0.18000678370891485,0.20497397547728766,0.14995303569633678,0.19566779712175475,0.19383649033271172,0.20892358911458261,0.162090900808686,0.19335204993462998,0.022130670634123648,409,0.408187134502924,0.39824561403508774,0.4263157894736842,0.37052631578947365,0.3992202729044834,0.33762183235867443,0.3923586744639377,0.3894736842105263,0.41508771929824556,0.33879142300194925,0.3875828460038986,0.028503394304623692,505,0.1128998968008256,0.11578947368421053,0.1065015479876161,0.11633986928104575,0.11097351221190231,0.1265221878224974,0.11812865497076024,0.11400068799449604,0.11117991056071551,0.12046783625730995,0.11528035775713792,0.0053152372752150205,173,0.1543859649122807,0.14502923976608187,0.1742690058479532,0.15321637426900586,0.15555555555555556,0.1368421052631579,0.14502923976608187,0.15789473684210525,0.1953216374269006,0.12982456140350876,0.15473684210526314,0.01780737763586018,465,132.0,124.0,149.0,131.0,133.0,117.0,124.0,135.0,167.0,111.0,132.3,15.225307878660452,465
128.0188006401062,2.6783002355483188,93.9287329673767,4.941624984361498,1000000000.0,,ovr,10.0,"{'classifier__C': 1000000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovr', 'classifier__gamma': 10.0}",0.3354775828460039,0.324756335282651,0.35477582846003897,0.30838206627680315,0.3298245614035088,0.2793372319688109,0.32027290448343076,0.32514619883040935,0.35068226120857704,0.27738791423001946,0.32060428849902534,0.024772147334824114,293,0.37882797731569,0.37318435754189944,0.40154738878143137,0.3474903474903475,0.3774604399845619,0.31149382253837515,0.36417468541820874,0.36496350364963503,0.38146304098046724,0.3273146369573569,0.3627920200657973,0.025616047396417277,337,0.04346694429984383,0.04346694429984383,0.044438736193167225,0.04056795131845842,0.042804621848739496,0.03850603970935346,0.04297130879077689,0.04201680672268908,0.0433024651102126,0.0391238462598154,0.042066566455290014,0.0018980334991698488,459,0.20682009195629605,0.20229943420861746,0.22663755458515286,0.17887309947331811,0.20497397547728766,0.14995303569633678,0.19459232632704812,0.19409937888198758,0.2087691740450227,0.162090900808686,0.1929108971459753,0.021937752953493327,447,0.4074074074074074,0.39824561403508774,0.4267056530214425,0.3705653021442495,0.3992202729044834,0.33762183235867443,0.3920077972709552,0.3910331384015595,0.4152046783625731,0.33879142300194925,0.3876803118908382,0.02851909811154643,293,0.1130374957000344,0.11578947368421053,0.1064327485380117,0.11627106983144135,0.11097351221190231,0.1265221878224974,0.11819745442036464,0.11372549019607843,0.1111111111111111,0.12046783625730995,0.11525283797729619,0.005335644607629326,223,0.1543859649122807,0.14502923976608187,0.17543859649122806,0.15321637426900586,0.15555555555555556,0.1368421052631579,0.14502923976608187,0.16023391812865498,0.1953216374269006,0.12982456140350876,0.1550877192982456,0.01799193873499828,253,132.0,124.0,150.0,131.0,133.0,117.0,124.0,137.0,167.0,111.0,132.6,15.383107618423528,253
147.40694706439973,4.993715564391575,58.89398624897003,5.564225229030436,1000000000.0,,ovr,100.0,"{'classifier__C': 1000000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovr', 'classifier__gamma': 100.0}",0.3354775828460039,0.324756335282651,0.35477582846003897,0.30838206627680315,0.3298245614035088,0.2793372319688109,0.32027290448343076,0.32514619883040935,0.35068226120857704,0.27738791423001946,0.32060428849902534,0.024772147334824114,293,0.37882797731569,0.37318435754189944,0.40154738878143137,0.3474903474903475,0.3774604399845619,0.31149382253837515,0.36417468541820874,0.36496350364963503,0.38146304098046724,0.3273146369573569,0.3627920200657973,0.025616047396417277,337,0.04346694429984383,0.04346694429984383,0.044438736193167225,0.04056795131845842,0.042804621848739496,0.03850603970935346,0.04297130879077689,0.04201680672268908,0.0433024651102126,0.0391238462598154,0.042066566455290014,0.0018980334991698488,459,0.20682009195629605,0.20229943420861746,0.22663755458515286,0.17887309947331811,0.20497397547728766,0.14995303569633678,0.19459232632704812,0.19409937888198758,0.2087691740450227,0.162090900808686,0.1929108971459753,0.021937752953493327,447,0.4074074074074074,0.39824561403508774,0.4267056530214425,0.3705653021442495,0.3992202729044834,0.33762183235867443,0.3920077972709552,0.3910331384015595,0.4152046783625731,0.33879142300194925,0.3876803118908382,0.02851909811154643,293,0.1130374957000344,0.11578947368421053,0.1064327485380117,0.11627106983144135,0.11097351221190231,0.1265221878224974,0.11819745442036464,0.11372549019607843,0.1111111111111111,0.12046783625730995,0.11525283797729619,0.005335644607629326,223,0.1543859649122807,0.14502923976608187,0.17543859649122806,0.15321637426900586,0.15555555555555556,0.1368421052631579,0.14502923976608187,0.16023391812865498,0.1953216374269006,0.12982456140350876,0.1550877192982456,0.01799193873499828,253,132.0,124.0,150.0,131.0,133.0,117.0,124.0,137.0,167.0,111.0,132.6,15.383107618423528,253
