,2000,2010
ADJCL,10.002911878838427,10.107939609589408
CNPC,0.6153149108604551,0.616630038543995
CNPS,0.5358823155350223,0.5258099270863357
DPPC,0.2810065757380987,0.2851682163776134
MLC,6.320973873682386,6.357964079891589
MLNP,3.030091993211336,3.0315777763010185
MLS,5.483389553552765,5.398037773338324
NPPS,0.6262339184874752,0.6114673592477339
PASSPS,0.020562585317498862,0.019840125507976963
SCR,0.8718276699927937,0.8540271662134811
