	1930	1940	1950	1960	1970	1980	1990	2000	2010
1	guys, great, time	fucking, fuck, man	fucking, fuck, man	fucking, fuck, man	guys, great, time	fucking, fuck, man	minute, wait, man	minute, wait, man	minute, wait, man
2	fucking, fuck, man	love, stop, girl	guys, great, time	dad, mom, home	fucking, fuck, man	court, color, font	dear, darling, night	dear, darling, night	dear, darling, night
3	hell, guy, guys	hell, guy, guys	love, stop, girl	guys, great, time	dad, mom, home	boat, ship, sea	leave, excuse, evening	leave, excuse, evening	man, comin, baby
4	call, car, phone	brother, today, girl	hell, guy, guys	people, country, government	king, majesty, highness	car, plane, train	lord, man, master	court, color, font	hell, guy, guys
5	spanish, pesos, jos̩	guys, great, time	dog, cat, boy	master, uncle, brother	time, power, planet	pas, vous, les	king, majesty, highness	francs, french, love	call, car, phone
6	time, power, planet	time, power, planet	pas, vous, les	king, majesty, highness	spanish, pesos, jos̩	money, pay, work	wait, home, stop	dog, cat, boy	show, sing, play
7	time, life, understand	spanish, pesos, jos̩	spanish, pesos, jos̩	hell, guy, guys	dear, darling, night	show, sing, play	sir, man, morning	master, uncle, brother	film, movie, camera
8	dog, cat, boy	love, married, wife	world, power, monster	film, movie, camera	film, movie, camera	lord, man, master	people, country, government	pas, vous, les	spanish, pesos, jos̩
9	house, door, room	call, car, phone	master, uncle, brother	write, book, read	sir, man, morning	guys, great, time	village, people, work	time, power, planet	sir, man, morning
10	love, stop, girl	music, man, chuckles	lord, man, master	pas, vous, les	wait, home, stop	love, married, wife	man, find, water	lord, man, master	bit, bloody, time
