,1970,1980,1990,2000,2010,micro avg,macro avg,weighted avg
f1-score,0.5646580907244413,0.3705541770057899,0.35332785538208705,0.3602882305844676,0.5384615384615384,0.44281249999999994,0.4374579784316649,0.43747966760109647
precision,0.5024096385542168,0.4014336917562724,0.37719298245614036,0.35942492012779553,0.5454545454545454,0.4428125,0.43718315566979415,0.4372141334668512
recall,0.6445131375579598,0.34408602150537637,0.3323029366306028,0.3611556982343499,0.5316455696202531,0.4428125,0.4427406727097084,0.4428125
support,647.0,651.0,647.0,623.0,632.0,3200.0,3200.0,3200.0
