,1970,1980,1990,2000,2010,micro avg,macro avg,weighted avg
f1-score,0.5782312925170068,0.39398998330550916,0.3736799350121852,0.35743298131600326,0.525984251968504,0.4515625,0.44586368882384175,0.4458489639781648
precision,0.5035545023696683,0.4176991150442478,0.39316239316239315,0.3697478991596639,0.546644844517185,0.4515625,0.44616175085063164,0.4465656814661557
recall,0.6789137380191693,0.37282780410742494,0.3560371517027864,0.34591194968553457,0.5068285280728376,0.4515625,0.4521038343175506,0.4515625
support,626.0,633.0,646.0,636.0,659.0,3200.0,3200.0,3200.0
