,1970,1980,1990,2000,2010,micro avg,macro avg,weighted avg
f1-score,0.35773317591499404,0.18867924528301888,0.18435754189944134,0.22415291051259778,0.3894165535956581,0.2853125,0.26886788544114204,0.2682926453143061
precision,0.2850423330197554,0.2560646900269542,0.2296983758700696,0.2595573440643863,0.3424821002386635,0.2853125,0.2745689686439658,0.27437000920217564
recall,0.48019017432646594,0.14937106918238993,0.15396578538102643,0.19724770642201836,0.45125786163522014,0.2853125,0.2864065193894242,0.2853125
support,631.0,636.0,643.0,654.0,636.0,3200.0,3200.0,3200.0
