Action	Adventure	Animation	Comedy	Crime	Drama	Family	Fantasy	History	Horror	Musical	Mystery	Romance	Sci-Fi	Thriller	War	Western
0.005818407539241233	0.0064820237594094355	0.00673527655126913	0.010878970006656634	0.009170532022271862	0.014189789839492569	0.013363732111697722	0.010335589918384422	0.008825824271495131	0.01666626440595499	0.009624045902519036	0.0147964677199345	0.011727276148696713	0.008506780423605132	0.012906398274548113	0.008652349632191412	0.007622240815651949
0.007071975721922261	0.00841568375225002	0.006582639158802613	0.014393776931393066	0.016269994340877992	0.013451574958056522	0.00929930761938942	0.008704383511450963	0.008982580110168932	0.009172018929691614	0.013203675355548321	0.009699072725723689	0.01156278558338755	0.007277804255497832	0.01119228698418191	0.01377143483731741	0.005052721389154001
0.008047438252308147	0.01814173819586809	0.013188011664593928	0.0056745762928455505	0.004048471877631406	0.006165747598840196	0.010597626113490403	0.009070605609764056	0.01022477971921632	0.0064170507648455095	0.004738777203631887	0.005131936862146436	0.005059906903195173	0.006412126619579396	0.005314773768473715	0.008299133348306386	0.0010332160507717657
0.002368400800963115	0.0040365568810029374	0.003794769088914376	0.006568330463524307	0.004371373380864527	0.007242384349529103	0.006132640941380207	0.006427811048941571	0.006581123010133697	0.004271703195529599	0.004474915668285004	0.008407676646791372	0.008996741906453597	0.003838802879531367	0.0045330217305224385	0.006293982044963592	0.003045523936307119
0.01026311023924958	0.006667449716859693	0.005174146820117131	0.007573285778714368	0.008898826445254308	0.008366985775477382	0.007944097065887865	0.006579257991964609	0.009353718602221511	0.005952714835498745	0.010355429149007542	0.0058331583386052625	0.007664973441477842	0.0041146957043576605	0.006930114635257538	0.00967222788385807	0.008915227279901463
0.014185814968781655	0.011745612103086051	0.007245106985657559	0.013853576773488904	0.018617476385143026	0.013204005240635665	0.010800718712702613	0.007812067534854278	0.005866721973014491	0.014558431460256161	0.007114010229207657	0.014291193352728831	0.010718396937522204	0.012147607313909447	0.017430188968815114	0.008214779398523924	0.003261489109539612
0.014567764605161482	0.005893232546231377	0.005579315736602569	0.007636866670361262	0.04280850049948103	0.016169747438761206	0.004526906024452565	0.008782267877250212	0.014750170778673142	0.02043199327813171	0.0058771258149793795	0.047590739009743636	0.0067344105154452044	0.011655085043724858	0.0326172523090624	0.008437636138064267	0.007247686248417287
0.002741176661443458	0.0029094976709002607	0.0015032468456743695	0.0031539820478349977	0.003285603434579769	0.0027889618316909886	0.003505874592548532	0.003227389047997632	0.0011302442472165882	0.005454402590748379	0.0011787058081225888	0.005062773569946714	0.003017376877496489	0.004643547578041444	0.004064793161174583	0.0011791487472213869	0.002160280202999666
0.005668136375588913	0.007409247977158116	0.00459904806550407	0.005371933525606614	0.005528126475475114	0.010230961338997025	0.0049267212431415896	0.010396878505199797	0.028990243051440424	0.010439317803506024	0.008734042840378218	0.009807204962572666	0.005883400005304773	0.004736922585106544	0.007821238573455973	0.011911796010123637	0.01496926688400988
0.0013961923047940443	0.0019472787046187568	0.0018126424071242945	0.0012495593981562785	0.0014364764509191812	0.001175465701658699	0.0016070769731045917	0.0003683318991558241	0.002204364120493545	0.0017157321107171344	0.0022946396756599015	0.0011907269696028267	0.0011882997342408939	0.001543586596425139	0.0014610603168540234	0.004016180863123328	0.0021111214266381815
