	Action	Adventure	Animation	Comedy	Crime	Drama	Family	Fantasy	History	Horror	Musical	Mystery	Romance	Sci-Fi	Thriller	War	Western
1	world, time, man	world, time, man	dog, boy, cat	time, love, make	man, guy, thing	time, love, make	time, love, make	world, time, man	war, men, soldier	door, house, stay	love, life, heart	time, night, home	time, love, make	human, world, virus	time, love, make	war, men, soldier	town, horse, boy
2	kill, dead, killed	time, love, make	world, time, man	man, guy, thing	police, gun, cop	time, night, home	dog, boy, cat	time, love, make	world, time, man	kill, dead, killed	heart, today, love	door, house, stay	time, night, home	time, world, years	door, house, stay	time, understand, make	kill, dead, killed
3	man, move, sir	dog, boy, cat	time, love, make	put, hair, head	time, love, make	man, guy, thing	man, guy, thing	kill, dead, killed	time, understand, make	time, love, make	time, love, make	time, love, make	man, guy, thing	time, understand, make	man, guy, thing	man, move, sir	time, love, make
4	man, guy, thing	man, guy, thing	time, wait, stop	guys, dude, party	case, police, found	put, hair, head	dad, mom, home	love, life, heart	man, dear, sir	man, guy, thing	song, show, dance	man, guy, thing	love, life, heart	man, move, sir	time, night, home	kill, dead, killed	man, dear, sir
5	time, love, make	find, forest, stay	time, understand, make	time, night, home	kill, dead, killed	time, understand, make	guys, dude, party	man, guy, thing	people, country, government	time, night, home	man, dear, sir	case, police, found	love, married, wife	door, house, stay	kill, dead, killed	village, people, water	world, time, man
6	police, gun, cop	time, understand, make	screaming, laughing, grunting	people, life, things	fucking, fuck, shit	leave, man, wait	put, hair, head	time, understand, make	village, people, water	fucking, fuck, shit	put, hair, head	kill, dead, killed	put, hair, head	man, guy, thing	fucking, fuck, shit	time, love, make	time, understand, make
7	time, understand, make	kill, dead, killed	love, life, heart	love, sex, women	time, night, home	love, life, heart	love, life, heart	ghost, ghosts, night	kill, dead, killed	ghost, ghosts, night	man, girl, leave	time, understand, make	people, life, things	time, love, make	time, understand, make	world, time, man	time, night, home
8	man, girl, leave	screaming, laughing, grunting	find, forest, stay	shit, hell, ass	money, pay, business	kill, dead, killed	tree, time, snow	time, night, home	master, sword, emperor	guys, dude, party	time, night, home	people, life, things	heart, today, love	plane, ship, sir	case, police, found	time, night, home	village, people, water
9	fucking, fuck, shit	plane, ship, sir	man, guy, thing	dog, boy, cat	time, understand, make	people, life, things	find, forest, stay	door, house, stay	church, priest, man	time, understand, make	love, married, wife	phone, call, number	love, sex, women	kill, dead, killed	police, gun, cop	nice, home, stop	money, pay, business
10	shit, hell, ass	love, life, heart	put, hair, head	time, understand, make	door, house, stay	dad, mom, home	time, night, home	put, hair, head	time, night, home	screaming, laughing, grunting	man, guy, thing	doctor, hospital, patient	guys, dude, party	world, time, man	man, move, sir	leave, man, wait	screaming, laughing, grunting
