,avg_doclength
Action,7405.817067067067
Adventure,7332.982067012742
Animation,6909.864292589028
Comedy,8667.258209565336
Crime,7802.1871886121
Drama,7157.439422996748
Family,7895.618464052288
Fantasy,6850.715976331361
History,7131.615034168565
Horror,5801.972231744943
Musical,8983.208
Mystery,7005.938709677419
Romance,8093.873828020359
Sci-Fi,6784.948905109489
Thriller,6772.381369863014
War,6679.827676240209
Western,6637.642857142857
