,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
ADJCL,10.779001503829207,10.675418711066513,11.122441237945452,9.599734891889328,10.377679733585039,9.93265987525142,9.77634710496301,10.957574422300771,11.101616670556496,10.088512678366895,10.678637472061446,10.806880718717373,9.761913636066932,11.360600842179068,10.495462715317274,10.086938688683924,11.63412670876811
CNPC,0.6518314516112338,0.6783164476237751,0.7300255272773197,0.6335894664715701,0.6129577300705222,0.6022554074915037,0.6406629217617561,0.6552242638867954,0.7233819393456025,0.5764454084036555,0.6916375856840193,0.6067041040690225,0.592418198880078,0.6474842380296012,0.5925277517155458,0.676068804086885,0.6463271058381235
CNPS,0.564037104626832,0.5460738464284405,0.5746083959661371,0.5339490120090018,0.539222913696759,0.5272077525126396,0.5194438763587071,0.5496448412797298,0.659135473596228,0.4790598514868308,0.609730873933153,0.529908751484237,0.5144796628592802,0.556962952271595,0.515188611266221,0.5771723075281872,0.5876077333319427
DPPC,0.28284138867188197,0.2851906292272367,0.29536486857946964,0.28234874239546576,0.2822591065801629,0.2814639932216538,0.28674773548932914,0.2882144476310651,0.27768962621944193,0.28554194900856983,0.2753463477006153,0.2929927150364412,0.2871557614965805,0.2935635377451728,0.28689402699624234,0.27015301693713356,0.30277769190352
MLC,6.329948015337265,6.570903600606981,6.862091340180107,6.461615830414836,6.247176747092329,6.281972100081865,6.559502649953649,6.494840834313559,6.542441803752483,6.240686385086537,6.515289829092421,6.334379356007735,6.32222316938225,6.410416826313199,6.233157046253578,6.42490649203411,6.328157391835751
MLNP,3.0158333092018723,3.0544728596066517,3.1114081073021786,3.0533235576224373,3.017098979001032,3.0208704436783407,3.0479797920666467,3.035182051145043,3.0220567971945798,3.013056920004343,3.0355125528646534,3.037709449297506,3.046885880301908,3.074493172237917,3.017899086741041,3.0071938260274083,3.0360092108155263
MLS,5.473047427129137,5.289743904301896,5.40163103556498,5.427252028096518,5.486730043644255,5.4701019758807226,5.29551421488791,5.424500438178673,5.8775268597739805,5.176811308641591,5.729010969711952,5.4945994268974285,5.4631295191700255,5.479571182526315,5.398068692205631,5.483259105041778,5.776490743932599
NPPS,0.6579196746407198,0.6314974449633645,0.6567537780120342,0.6192132976115989,0.6351502974442242,0.6152736718252625,0.6002037886514374,0.6359449050786484,0.7583443576622778,0.5632472935477371,0.701598202703181,0.6206177690925966,0.5957835537520946,0.6476081590472591,0.6056699085500437,0.6697428134654265,0.6817727381514977
PASSPS,0.02346398889465074,0.021243364685688795,0.022019643487517063,0.018075988841984667,0.02145422664951709,0.020139442357860936,0.016915621531439624,0.021683917831625845,0.03338535825481082,0.019199729646904345,0.021496957928018118,0.02255709216633629,0.017969247964424045,0.023400037435324598,0.020726781380420594,0.026410356871227447,0.021602411963119954
SCR,0.8700590964016505,0.8118436369209051,0.7947920847007327,0.8451756272970656,0.8824534776085773,0.8745363048564668,0.8147351611188434,0.8405178434808288,0.8968748078641762,0.8351647440219947,0.8846361452231533,0.8718878764973048,0.8685275197183991,0.8589476992963665,0.870270661528442,0.8576317028574614,0.9195870283331292
