,avg_doclength
Action,7087.095864661655
Adventure,7115.039927404719
Animation,6536.418985270049
Comedy,8438.296310456892
Crime,7690.826899128269
Drama,7288.666165934827
Family,7600.3341232227485
Fantasy,6690.443051201672
History,7724.672680412371
Horror,5706.492493946731
Musical,9331.139344262296
Mystery,7217.310091743119
Romance,8140.4586092715235
Sci-Fi,6791.045977011494
Thriller,6848.539819199311
War,7011.433766233767
Western,6374.627906976744
