	Action	Adventure	Animation	Comedy	Crime	Drama	Family	Fantasy	History	Horror	Musical	Mystery	Romance	Sci-Fi	Thriller	War	Western
1	stop, wait, shut	time, talk, make	dog, cat, boy	time, talk, make	police, gun, car	time, talk, make	time, talk, make	time, talk, make	war, men, army	house, door, night	love, life, heart	time, talk, make	time, talk, make	world, human, planet	time, talk, make	war, men, army	town, horse, sheriff
2	time, talk, make	stop, wait, shut	time, talk, make	stop, wait, shut	man, guy, hell	stop, wait, shut	dog, cat, boy	love, life, heart	king, lord, princess	time, talk, make	sir, girl, happened	house, door, night	love, life, heart	time, talk, make	house, door, night	time, talk, make	time, talk, make
3	master, fight, brother	king, lord, princess	world, human, planet	man, guy, hell	time, talk, make	house, door, night	love, life, heart	ghost, evil, magic	time, life, understand	stop, wait, shut	love, son, heart	time, life, understand	people, thing, great	plane, ship, fire	man, guy, hell	stop, wait, shut	stop, wait, shut
4	man, guy, hell	water, people, find	love, life, heart	people, thing, great	stop, wait, shut	time, life, understand	stop, wait, shut	stop, wait, shut	time, talk, make	kill, man, dead	time, talk, make	police, found, murder	stop, wait, shut	time, life, understand	stop, wait, shut	man, people, village	kill, man, dead
5	kill, man, dead	kill, man, dead	stop, wait, shut	guys, love, wait	house, door, night	love, life, heart	dad, mom, kids	time, life, understand	people, country, government	ghost, evil, magic	love, wife, married	man, guy, hell	house, door, night	man, guy, hell	kill, man, dead	time, life, understand	money, pay, business
6	police, gun, car	time, life, understand	time, life, understand	eat, nice, food	money, pay, business	mother, father, son	guys, love, wait	kill, man, dead	kill, man, dead	man, guy, hell	mother, father, son	kill, man, dead	love, wife, married	stop, wait, shut	police, gun, car	kill, man, dead	war, men, army
7	man, bomb, security	man, guy, hell	time, japanese, stop	house, door, night	kill, man, dead	man, guy, hell	eat, nice, food	king, lord, princess	man, people, village	man, laughing, chuckles	stop, wait, shut	people, thing, great	man, guy, hell	man, bomb, security	time, life, understand	mother, father, son	man, laughing, chuckles
8	time, life, understand	dog, cat, boy	king, lord, princess	love, life, heart	fuck, fucking, shit	nice, bit, guy	water, people, find	house, door, night	stop, wait, shut	time, life, understand	dear, man, young	stop, wait, shut	time, life, understand	kill, man, dead	people, thing, great	people, country, government	leave, understand, excuse
9	uncle, time, boss	man, laughing, chuckles	ghost, evil, magic	time, life, understand	time, life, understand	money, pay, business	mother, father, son	man, guy, hell	mother, father, son	people, thing, great	king, lord, princess	leave, understand, excuse	guys, love, wait	people, thing, great	fuck, fucking, shit	man, guy, hell	man, guy, hell
10	money, pay, business	world, human, planet	water, people, find	love, woman, sex	police, found, murder	kill, man, dead	man, guy, hell	man, laughing, chuckles	love, life, heart	fuck, fucking, shit	time, life, understand	dear, man, young	love, woman, sex	house, door, night	man, bomb, security	leave, understand, excuse	water, people, find
