Action	Adventure	Animation	Crime	Family	Fantasy	History	Horror	Musical	Mystery	Romance	Sci-Fi	Thriller	War	Western
0.003297932858495944	0.0007925234515382837	0.001276978721409215	0.0047772649247891305	0.0006994222381480894	0.001680554783687064	0.0011192230714749802	0.0030470057801320017	0.0003999913959580636	0.0038998411802538113	0.005281527629307	0.0014224713297768298	0.0038587723759146765	0.0033077770617901325	0.0009810069008514162
0.010530605983085169	0.022537185331712197	0.014577652561203443	0.007133736677272429	0.02142262005640949	0.013395909243632433	0.02426953900647732	0.007287553956500622	0.007380093598892409	0.0072573966076613285	0.006988910578504268	0.010007108172521751	0.005933428241193638	0.018583111378369526	0.0018309675109060616
0.005576153983495252	0.008050821026202092	0.00789010777913459	0.010442770431317205	0.013671838471419817	0.011737684136888768	0.01084768003430878	0.011184024783681093	0.011629073349318704	0.020461760103305686	0.015029293393714798	0.008007658829295597	0.012006300035884529	0.006781110357155805	0.003958780821276475
0.011806510173810939	0.007425879261201436	0.00386091762072011	0.017342771180869045	0.00824296098440597	0.0075311124757309784	0.00205585452287944	0.01984609042550896	0.006696266987086308	0.016767999809353833	0.008539101574477516	0.015153492055781337	0.020117812844894417	0.007112587801592488	0.0031651317294348184
0.00203567731328925	0.0014197536166178487	0.0014815860838662276	0.0026636223712773513	0.0005131037243353432	0.002226262659271483	0.0010081982132560262	0.0010762779181276432	0.00027033856689074134	0.0005020080544062233	0.0018234858355124519	0.0016194651597153465	0.0020374459292397257	0.0003605052388806658	0.0005494216660167695
0.017569233863315416	0.011391118873710726	0.022546695123834636	0.00944536860911935	0.007090342616308918	0.0060493852334190775	0.0009122324578442136	0.007481279530696536	0.0016219266067964528	0.00855767501670455	0.0034414083229828735	0.03733905151752811	0.010434795499655501	0.0008196468646908786	0.0005836033071900515
0.02068780283958641	0.024678943873084534	0.024569161690363394	0.023838167163183415	0.05436433149155455	0.02763655952033519	0.011457577467896484	0.03979490477011857	0.029830483543980494	0.03232804822751366	0.029543063714125427	0.023099422422724593	0.0355955647855517	0.014940426313412474	0.012861134930747992
0.008953184999803566	0.006029873289351159	0.006683435754615089	0.012967467030653362	0.004073998881414831	0.012790499118382696	0.0046759814348493675	0.02936330341544309	0.005192384979926675	0.028337009217527014	0.012303081175090583	0.025249234357932675	0.02328410716576313	0.006270861133113017	0.0033990758910110645
0.019870582028005464	0.041356497375311635	0.06059904736464397	0.021577801239144278	0.10385198275699656	0.053485913106352444	0.041123690508665205	0.02276262188320726	0.1012233650427545	0.02377873978973694	0.044877970714466545	0.019090126238850147	0.022061145436225834	0.041183384613124346	0.04199455490776053
0.007735780629942245	0.00845937660446312	0.009351760521747831	0.0054615178023139435	0.006879472282432513	0.007151679987404464	0.004116999088043482	0.010618547942878238	0.014014615925753324	0.01112293856562507	0.007354646984173957	0.010420709392705185	0.009868947406093394	0.0033656688205965625	0.00179806550925652
0.0065246752288224295	0.012669008736685347	0.00572910116961452	0.004027906236228625	0.010002244073884487	0.013311451934932822	0.005638878346391079	0.00740343641122089	0.0017927757557982722	0.007370622376855756	0.00362380194830344	0.006556071394511268	0.003555155722127894	0.001448263330081991	0.0013054062660059814
0.0017470430713628223	0.0019789199646513896	0.004446904664810239	0.0013376813592383338	0.0017083853575835617	0.00039457528432973064	5.825059658937906e-05	0.0016997373331308502	0.004321525388576451	0.001848529139131215	0.0018751115031715132	0.0009830031398080578	0.0013898468202896922	0.0004550509241324991	0.0009754090774608585
