,avg_doclength
Action,6695.039052890529
Adventure,6734.966480446928
Animation,6159.476623376623
Crime,6935.780085959886
Family,6649.807537012113
Fantasy,6030.33137254902
History,6749.649635036496
Horror,5597.106622114216
Musical,8112.695652173913
Mystery,6731.638314785374
Romance,7451.030927835051
Sci-Fi,6469.414022140221
Thriller,6556.023712948518
War,6154.7959183673465
Western,6676.475225225226
