,Action,Adventure,Animation,Crime,Family,Fantasy,History,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
ADJCL,11.073723136752415,10.976581687800614,11.516545981066932,10.731350962550927,9.860285821590798,11.294479120646901,11.837950962290115,10.487667274674372,10.992059471106664,11.031745022759907,10.109038333835338,11.449672375614819,10.641721373029219,10.738597738328131,11.761802698168182
CNPC,0.654131747514604,0.6869709892673614,0.7418639741320344,0.6198366343621481,0.6650666935268107,0.6797224611591755,0.7724164059373718,0.5898600069636156,0.704126472737665,0.6189136601184511,0.6121297682590308,0.6692569510165598,0.6024839007775413,0.6847294255005332,0.6028545512762112
CNPS,0.5695810233939905,0.5727024504578702,0.5996694300573383,0.5517211535460701,0.5356999946979466,0.5768410443418721,0.7629203924495958,0.5027329849916152,0.6365831056044561,0.5461865802569382,0.550416626118277,0.5800713195437939,0.5255916090964573,0.6296049772446216,0.5772356423869058
DPPC,0.2865850531478452,0.28555753371625847,0.2969574453426574,0.2859354055812358,0.2795686698996519,0.28610495748900766,0.29502930309300174,0.2876341762351228,0.2820374433511492,0.2935988559575871,0.2840154292628493,0.2924998846236703,0.2878792566571506,0.28569794646148333,0.30736972554380443
MLC,6.372478016999623,6.5738947069008935,6.859268209784101,6.295772018501826,6.636768954697143,6.555677415590479,6.68508296184173,6.292014793556967,6.6500058188358375,6.413049740747301,6.294443642511371,6.483611264490657,6.287812233739654,6.463173456668135,6.225302835614021
MLNP,3.0271719260415195,3.05538357417895,3.130650698985385,3.031515076040299,3.0462417769030257,3.03526079064701,3.0528779792704626,3.026287254023284,3.0577348486057008,3.0530451709653343,3.029065960825625,3.074200525989371,3.0300733871510768,3.0394907298641165,3.039364512742057
MLS,5.55218680850982,5.491953728268941,5.585370740521268,5.6037302486813525,5.314374701712802,5.539488076017324,6.458575650481122,5.333429925485443,5.966811440495748,5.610520641416904,5.646084177481035,5.595781596905362,5.464381691481821,5.906335123581872,5.990552777407049
NPPS,0.6646649189812976,0.6639164238845621,0.6864903063676767,0.6512240037356681,0.62069297507245,0.6674614850987184,0.8669542736437023,0.5911017913242028,0.734413080862629,0.6406867225127245,0.6402371180153137,0.674278458795231,0.6180754447689779,0.7324815522672773,0.6793067579100626
PASSPS,0.025211033907826134,0.02458107747625848,0.025839422229773513,0.024126282750427285,0.019264572690500224,0.025504635808590893,0.03994312250723562,0.021902666477020168,0.02321729879068341,0.025083254906062964,0.02190892676446723,0.026464319505821246,0.021950033164390915,0.030505619194925403,0.022602190197841376
SCR,0.8767832974355643,0.8428484800340006,0.8235317518519432,0.8938879126050963,0.8061251186329219,0.8501086110031093,0.9588427202996016,0.8517620408148437,0.9014419021556828,0.8778325371789695,0.9018096186583708,0.8673444071952218,0.8734853267118061,0.9161854797331005,0.967747325638102
