,Action,Adventure,Animation,Crime,Family,Fantasy,History,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,micro avg,macro avg,weighted avg,samples avg
f1-score,0.7448591012947449,0.6054054054054053,0.6231884057971014,0.484472049689441,0.6390977443609022,0.46200607902735563,0.22857142857142856,0.7963246554364473,0.4102564102564102,0.24861878453038674,0.44761904761904764,0.6288032454361054,0.6204268292682926,0.6,0.8700564971751412,0.6372615342984711,0.560647045591214,0.6214027676239319,0.6386839826839827
precision,0.7569659442724458,0.632768361581921,0.6615384615384615,0.5909090909090909,0.7203389830508474,0.6846846846846847,0.5,0.7772795216741405,0.5333333333333333,0.4787234042553192,0.5949367088607594,0.7311320754716981,0.6176024279210925,0.8333333333333334,0.8279569892473119,0.6918331374853114,0.6627668880089627,0.6778603457130448,0.7185281385281386
recall,0.7331334332833583,0.5803108808290155,0.589041095890411,0.4105263157894737,0.5743243243243243,0.3486238532110092,0.14814814814814814,0.8163265306122449,0.3333333333333333,0.16791044776119404,0.35877862595419846,0.5516014234875445,0.6232771822358346,0.46875,0.9166666666666666,0.5906696764484575,0.5080501507684505,0.5906696764484575,0.6335930735930735
support,667.0,386.0,146.0,285.0,148.0,218.0,27.0,637.0,24.0,268.0,131.0,281.0,653.0,32.0,84.0,3987.0,3987.0,3987.0,3987.0
