,Action,Adventure,Animation,Crime,Family,Fantasy,History,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,micro avg,macro avg,weighted avg,samples avg
f1-score,0.039816232771822356,0.009779951100244499,0.02702702702702703,0.0,0.0,0.0,0.0,0.537037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2411227595536016,0.04091068319574206,0.10300750168008371,0.260952380952381
precision,0.38235294117647056,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.3684489147697194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36885669943093635,0.1389423459519682,0.21678708641162553,0.3683116883116883
recall,0.0210016155088853,0.0049261083743842365,0.013793103448275862,0.0,0.0,0.0,0.0,0.9900426742532006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17910072846018588,0.06865090010564973,0.17910072846018588,0.2180952380952381
support,619.0,406.0,145.0,278.0,150.0,198.0,24.0,703.0,29.0,252.0,127.0,281.0,652.0,24.0,93.0,3981.0,3981.0,3981.0,3981.0
