,Action,Adventure,Animation,Crime,Family,Fantasy,History,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,micro avg,macro avg,weighted avg,samples avg
f1-score,0.7308868501529053,0.6381909547738693,0.6402439024390244,0.472885032537961,0.6308243727598567,0.37785016286644957,0.26666666666666666,0.8143621084797554,0.3829787234042553,0.23974763406940064,0.4747474747474748,0.6021978021978023,0.5725871857258719,0.4727272727272727,0.89,0.6315072226764786,0.5471264095699043,0.6167333847195035,0.6277402597402598
precision,0.7331288343558282,0.671957671957672,0.6363636363636364,0.5532994923857868,0.6153846153846154,0.58,0.35294117647058826,0.82,0.5294117647058824,0.475,0.618421052631579,0.685,0.5883333333333334,0.5652173913043478,0.89,0.6818716892289582,0.6209639312595513,0.6659151013833257,0.7100432900432901
recall,0.7286585365853658,0.6076555023923444,0.6441717791411042,0.4128787878787879,0.6470588235294118,0.28019323671497587,0.21428571428571427,0.8088012139605463,0.3,0.16033755274261605,0.38524590163934425,0.5372549019607843,0.5576619273301737,0.40625,0.89,0.5880710659898477,0.5053635918774112,0.5880710659898477,0.6223376623376623
support,656.0,418.0,163.0,264.0,136.0,207.0,28.0,659.0,30.0,237.0,122.0,255.0,633.0,32.0,100.0,3940.0,3940.0,3940.0,3940.0
