,1930,1940,1950,1960,1970,1980,1990,2000,2010,micro avg,macro avg,weighted avg
f1-score,0.32786885245901637,0.13333333333333333,0.38036809815950917,0.4154929577464789,0.3020833333333333,0.2151394422310757,0.1271186440677966,0.386411889596603,0.6401617250673853,0.4467532467532467,0.325330919554948,0.4167071985225788
precision,0.3225806451612903,0.3,0.3974358974358974,0.38311688311688313,0.2672811059907834,0.3253012048192771,0.39473684210526316,0.39565217391304347,0.5562060889929742,0.44675324675324674,0.3713678712817125,0.4271809304834738
recall,0.3333333333333333,0.08571428571428572,0.36470588235294116,0.45384615384615384,0.3473053892215569,0.16071428571428573,0.07575757575757576,0.3775933609958506,0.753968253968254,0.44675324675324674,0.32810428010047077,0.44675324675324674
support,30.0,35.0,85.0,130.0,167.0,168.0,198.0,482.0,630.0,1925.0,1925.0,1925.0
