,1930,1940,1950,1960,1970,1980,1990,2000,2010,micro avg,macro avg,weighted avg
f1-score,0.21739130434782608,0.13333333333333333,0.4827586206896552,0.4444444444444444,0.43979057591623033,0.2595419847328244,0.20095693779904308,0.4040201005025125,0.6530334014996592,0.4825974025974026,0.3594745225850587,0.4600815162809346
precision,0.20833333333333334,0.2727272727272727,0.4666666666666667,0.4444444444444444,0.4077669902912621,0.38202247191011235,0.4772727272727273,0.39644970414201186,0.5848595848595849,0.4825974025974026,0.4045047995163796,0.4686334572197844
recall,0.22727272727272727,0.08823529411764706,0.5,0.4444444444444444,0.4772727272727273,0.19653179190751446,0.12727272727272726,0.41188524590163933,0.7391975308641975,0.4825974025974026,0.3569013876726249,0.4825974025974026
support,22.0,34.0,84.0,135.0,176.0,173.0,165.0,488.0,648.0,1925.0,1925.0,1925.0
